Record Date,Parent ID,Classification ID,Classification Description,October Receipts and Outlays Amount,November Receipts and Outlays Amount,December Receipts and Outlays Amount,January Receipts and Outlays Amount,February Receipts and Outlays Amount,March Receipts and Outlays Amount,April Receipts and Outlays Amount,May Receipts and Outlays Amount,June Receipts and Outlays Amount,July Receipts and Outlays Amount,August Receipts and Outlays Amount,September Receipts and Outlays Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57119979,57119980,Employment and General Retirement,118430264783.33,128211442413.69,136255470643.15,157146415951.61,130954051372.41,144684053666.05,172625681059.83,133708846926.88,176075293818.64,125845477746.99,129270054737.52,132424453120.13,1685631506240.23,1652997812476.74,7,5,5,70,D,RSG,3,1.3.1,2025,4,2025,3,09,30
2025-09-30,57119979,57119981,Unemployment Insurance,3149469228.59,2619041708.59,363522840.82,4971402670.77,2371425515.88,323116947.17,11066498065.00,13598264735.62,6417551111.17,4504439012.08,3916612345.11,747225964.26,54048570145.06,47975238224.20,7,6,6,80,D,RSG,3,1.3.2,2025,4,2025,3,09,30
2025-09-30,57119979,57119982,Other Retirement,708280570.35,651512078.28,651498586.03,841920931.88,659042221.63,739213177.92,711159611.93,694562637.14,666270876.08,672353784.79,854191635.93,763729465.60,8613735577.56,7953956052.72,7,7,7,90,D,RSG,3,1.3.3,2025,4,2025,3,09,30
2025-09-30,57119976,57119983,Excise Taxes,10457737665.07,9577825835.09,6407031775.79,8515512389.74,4956983249.01,7115683214.78,12374274273.37,8357407850.37,7596002852.14,9574298911.41,8224322871.12,12779384419.74,105936465307.63,101435326697.24,7,8,8,100,D,RSG,2,1.4,2025,4,2025,3,09,30
2025-09-30,57119976,57119984,Estate and Gift Taxes,2776966764.51,2244147881.97,1638815352.80,2431914426.29,2257740354.89,1548943351.49,3726171623.90,3230578167.43,2486087159.87,1751139946.34,2334186051.53,3035354009.43,29462045090.45,31615876108.98,7,9,9,110,D,RSG,2,1.5,2025,4,2025,3,09,30
2025-09-30,57119976,57119985,Customs Duties,7297256976.25,6711869037.96,6814380564.22,7341415936.58,7246812675.38,8167908459.56,15633917348.71,22172564539.21,26631664231.77,27670054031.40,29502942749.54,29674953322.24,194865739872.82,77036909944.89,7,10,10,120,D,RSG,2,1.6,2025,4,2025,3,09,30
2025-09-30,57119976,57119986,Miscellaneous Receipts,3043695972.85,3946300758.29,3321597196.50,2475008744.41,2711573337.12,2152224722.53,3366827322.46,4185943534.47,2318313846.25,2490952547.19,14562980282.83,3349155121.37,47924573386.27,43156615046.62,7,11,11,130,D,RSG,2,1.7,2025,4,2025,3,09,30
2025-09-30,57119976,57119987,Total--Receipts This Year,326770236058.10,301754299812.79,454414708491.47,513294342651.93,296423683822.57,367645430943.32,850169317772.81,371228857110.76,526445351756.97,338491848423.17,344315322010.32,543662987461.22,5234616386315.43,null,7,12,12,140,T,SL,2,1.8,2025,4,2025,3,09,30
2025-09-30,57119987,57119988,(On-Budget),239159236058.10,207036299812.79,355606064208.77,392261342651.93,194405683822.57,254850842376.01,718211317772.81,267895857110.76,390295900447.36,242174848423.17,245449322010.32,443534036493.58,3950880751188.17,null,7,13,13,150,T,SL,3,1.8.1,2025,4,2025,3,09,30
2025-09-30,57119976,57119990,Total--Receipts Prior Year,403433540919.80,274830035781.15,429310654566.08,477319655457.16,271126068759.09,332078814395.98,776198093176.94,323646986978.40,466254918407.16,330377428300.09,306539737019.32,526989591753.68,null,4918105525514.85,7,15,15,170,T,SLI,2,1.9,2025,4,2025,3,09,30
2025-09-30,57119990,57119991,(On-Budget),321847540919.80,186993035781.15,327107356815.70,360320655457.16,173343068759.09,224149971180.90,647317093176.94,223648986978.40,327043693184.98,235959428300.09,209699737019.32,420792226584.44,null,3658222794157.97,7,16,16,180,T,SLI,3,1.9.1,2025,4,2025,3,09,30
2025-09-30,57119990,57119992,(Off-Budget),81586000000.00,87837000000.00,102203297750.38,116999000000.00,97783000000.00,107928843215.08,128881000000.00,99998000000.00,139211225222.18,94418000000.00,96840000000.00,106197365169.24,null,1259882731356.88,7,17,17,190,T,SLI,3,1.9.2,2025,4,2025,3,09,30
2025-09-30,57119993,57119994,Legislative Branch,633000819.23,625148817.49,520444987.05,603664845.45,598770567.90,702134799.65,526005894.41,545797946.66,556464282.89,593998963.89,514395547.59,813141285.30,7232968757.51,6835068061.10,7,19,19,210,D,C,2,2.1,2025,4,2025,3,09,30
2025-09-30,57119993,57119995,Judicial Branch,800539355.22,754183197.79,790251148.21,983189146.97,770934482.22,782736972.08,781546822.85,821953622.40,649152170.74,860650702.04,879871742.97,884035359.99,9759044723.48,9480265838.79,7,20,20,220,D,C,2,2.2,2025,4,2025,3,09,30
2025-09-30,57119996,57119997,Commodity Credit Corporation,3338418886.54,2098167917.78,1858013570.61,684776963.61,96365117.15,-351096995.78,-420836179.64,-165777610.66,-436151011.90,-529250517.31,-370558279.70,-211299076.73,5590772783.97,5524167117.40,7,22,22,290,D,P,3,2.3.1,2025,4,2025,3,09,30
2025-09-30,57119996,57119998,Foreign Agricultural Service,304234455.01,199351735.76,72210200.38,86893482.92,68433124.14,218638452.64,164833414.96,211623987.23,251545124.34,139855513.85,268113223.07,24849360.98,2010582075.28,1418660954.08,7,23,23,310,D,B,3,2.3.2,2025,4,2025,3,09,30
2025-09-30,57119996,57119999,Other,21160505501.42,19924859037.41,18883272472.74,18528750248.15,15396237079.30,17598582578.95,21572407936.61,16826321524.15,18373005071.52,19855363583.94,18286614682.91,13424599962.65,219830519679.75,196458986684.56,7,24,24,320,D,P,3,2.3.3,2025,4,2025,3,09,30
2025-09-30,57119993,57120000,Department of Commerce,1266322163.46,2824261184.78,2391864053.60,2834263898.59,1344236292.32,4683043897.28,1085412372.79,1196681423.85,1943261871.16,1249604860.46,7426456563.16,1466195782.87,29711604364.32,14831117302.52,7,25,25,330,D,C,2,2.4,2025,4,2025,3,09,30
2025-09-30,57120001,57120002,Military Personnel,46416005926.76,18829056389.18,14499048601.24,13879759184.82,14142970551.44,7893556586.64,14456050096.93,20178639707.83,9467691673.16,15119103928.46,21811159764.63,9835554127.92,206528596539.01,191945217798.79,7,27,27,355,D,B,3,2.5.1,2025,4,2025,3,09,30
2025-09-30,57120001,57120003,Operation and Maintenance,27741474400.83,27889094743.17,28198528581.58,29101385172.65,25596985264.05,30205960586.16,27659341095.41,27427392283.97,27759099923.61,29428129807.30,31003963848.82,30380673951.27,342392029658.82,332041303004.29,7,28,28,360,D,B,3,2.5.2,2025,4,2025,3,09,30
2025-09-30,57120001,57120005,Procurement,12674146199.23,12519135062.28,21302508097.92,11810027661.41,11175854311.47,14263559865.55,11487987091.77,12416138026.46,14167542051.87,12513887904.52,11948741338.21,15680752771.58,161960280382.27,152259026658.85,7,30,30,365,D,B,3,2.5.4,2025,4,2025,3,09,30
2025-09-30,57120001,57120006,"Research, Development, Test, and Evaluation",9861285012.18,12136586262.85,12766701185.01,10765234207.55,10359693378.06,10478159255.73,11930628473.47,10972103388.02,12868807226.45,12213802466.29,11376407642.68,15699478690.99,141428887189.28,137960113011.09,7,31,31,371,D,B,3,2.5.5,2025,4,2025,3,09,30
2025-09-30,57120001,57120007,Military Construction,1141772941.98,981720176.27,1577671534.48,740073508.55,930580007.54,1052919392.44,1190741508.61,1166445589.59,1104206388.33,1270844538.07,1155689481.72,839170449.09,13151835516.67,12067599590.81,7,32,32,375,D,B,3,2.5.6,2025,4,2025,3,09,30
2025-09-30,57120001,57120008,Family Housing,132909489.76,133568606.91,117480770.98,169805837.41,94364372.14,125125832.25,123672099.52,122436732.51,167121208.57,279681079.62,152613063.67,165907497.73,1784686591.07,1548801732.18,7,33,33,380,D,B,3,2.5.7,2025,4,2025,3,09,30
2025-09-30,57120001,57120009,Revolving and Management Funds,1516576722.31,-462848493.08,467694622.68,1645742107.95,-814298713.81,-190477942.93,-239376077.94,-124192156.12,534038806.04,676441046.96,750784719.70,-715960602.51,3044124039.25,627573516.62,7,34,34,385,D,B,3,2.5.8,2025,4,2025,3,09,30
2025-09-30,57120001,57120011,Total Department of Defense--Military Programs,99151111005.34,72328723228.62,78782674875.79,67956304038.17,61355477562.27,63490048249.12,66373757164.52,72222639479.39,65755459958.10,71528009982.61,78020062085.88,71447370168.15,868411637797.96,826277202762.02,7,36,36,400,T,C,3,2.5.10,2025,4,2025,3,09,30
2025-09-30,57119993,57120012,Department of Education,22563368518.84,9369628433.33,10719513747.04,19987071345.22,8140999486.44,8094408761.57,7324429661.98,6718343116.51,7894248119.31,30653745531.36,8530746401.37,-105278704704.70,34717798418.27,267918242878.33,7,37,37,420,D,C,2,2.6,2025,4,2025,3,09,30
2025-09-30,57119993,57120013,Department of Energy,4961237729.01,4116266028.04,4836870598.37,4874437729.16,3782053203.51,3569918889.24,3898912387.85,4798420556.83,4688345803.50,4276873069.33,3830767640.78,4658132295.86,52292235931.48,49315438988.11,7,38,38,430,D,C,2,2.7,2025,4,2025,3,09,30
2025-09-30,57120014,57120015,National Institutes of Health,4282709619.63,3906261272.27,3953251294.59,3554349934.53,3739157168.02,3549549495.00,3849531051.17,2768098809.94,4251809889.72,4519716660.51,4371512314.63,4595041398.36,47340988908.37,48210120998.32,7,40,40,460,D,B,3,2.8.1,2025,4,2025,3,09,30
2025-09-30,57120016,57120017,Grants to States for Medicaid,53140893658.95,51160865312.50,55128167388.73,51220080849.18,52655743291.10,56649105769.65,58116343496.44,58229219904.43,55080933957.83,62115094347.20,54271642130.52,60371345016.79,668139435123.32,617517219049.27,7,42,42,490,D,P,4,2.8.2.1,2025,4,2025,3,09,30
2025-09-30,57120016,57120018,Federal Hospital Insurance Trust Fund,34732631861.45,50079278866.43,19967715304.59,51991726056.99,34880224273.73,21501792993.56,35968059206.96,58150684759.87,18400838511.49,41547141971.59,54050157898.84,23562448149.01,444832699854.51,407377882840.05,7,43,43,500,D,P,4,2.8.2.2,2025,4,2025,3,09,30
2025-09-30,57120016,57120019,Federal Supplementary Medical Insurance Trust Fund,56164000509.69,92823418028.79,22707779405.87,99040185176.08,55164744833.71,21446969845.49,61270172523.95,106084302521.97,20498725461.85,74108730236.25,105025472352.99,27243261567.57,741577762464.21,642650436959.41,7,44,44,520,D,P,4,2.8.2.3,2025,4,2025,3,09,30
2025-09-30,57119993,57120026,Department of Justice,2867986060.75,3331545417.36,4565652684.00,3666609509.56,4146051369.18,4423126323.99,3263991660.10,3343527295.82,3267926326.55,3835229672.97,3599250949.21,4636772422.93,44947669692.42,43995374247.46,7,51,51,690,D,C,2,2.12,2025,4,2025,3,09,30
2025-09-30,57120027,57120028,Unemployment Trust Fund,3283526581.61,2942561073.36,3703919212.67,4477731073.68,3814491456.22,5185734743.29,4282351699.42,3096197364.08,5816358759.50,3990598471.28,3302895670.15,3804138293.15,47700504398.41,44993067331.07,7,53,53,710,D,P,3,2.13.1,2025,4,2025,3,09,30
2025-09-30,57120027,57120029,Other,-3484676271.94,2473402061.39,2916708277.95,1703234617.07,3022796657.85,-141730826.38,744851036.91,1289820211.20,151426233.87,820245466.85,913914145.77,-7727431167.62,2682560442.92,20047075642.37,7,54,54,720,D,P,3,2.13.2,2025,4,2025,3,09,30
2025-09-30,57119993,57120030,Department of State,3064880739.20,2927407193.49,3347729545.08,2417865965.37,1406710569.88,2509982378.44,1910804572.42,2203629861.34,2501679011.51,2002046831.75,1899599045.27,2169975197.79,28362310911.54,37017135976.76,7,55,55,730,D,C,2,2.14,2025,4,2025,3,09,30
2025-09-30,57120031,57120032,Highway Trust Fund,5087435115.92,4349717670.56,4412274837.86,3239633666.52,3306745428.83,3382159521.45,3815503764.90,4521350712.58,5298069349.94,4933732354.43,6242633312.74,7449217409.84,56038473145.57,53668683945.36,7,57,57,750,D,P,3,2.15.1,2025,4,2025,3,09,30
2025-09-30,57120031,57120033,Other,4680771124.07,4893597612.03,6939929065.98,5545529023.06,4809411039.82,5261465483.62,5903262052.24,4537657091.07,5909924416.19,6644218990.88,5534737691.21,10883804722.01,71544308312.18,63720774700.97,7,58,58,760,D,P,3,2.15.2,2025,4,2025,3,09,30
2025-09-30,null,57119976,Receipts:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,1,1,10,S,SL,1,1,2025,4,2025,3,09,30
2025-09-30,57119993,57120014,Department of Health and Human Services:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,39,39,450,S,C,2,2.8,2025,4,2025,3,09,30
2025-09-30,57119993,57120027,Department of Labor:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,52,52,700,S,C,2,2.13,2025,4,2025,3,09,30
2025-09-30,57119993,57120057,Social Security Administration:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,80,80,860,S,C,2,2.28,2025,4,2025,3,09,30
2025-09-30,57120076,57120079,Rents and Royalties on the Outer Continental Shelf Lands,-406543200.27,-265027095.70,-712472805.85,-573428594.66,-543852074.44,-462215535.67,-460633720.03,-233908839.05,-578232077.26,-504892697.10,-477479337.85,-526539276.35,-5745225254.23,-7020420978.65,7,98,99,1000,D,UORG,3,2.30.3,2025,4,2025,3,09,30
2025-09-30,57120076,57120080,Sale of Major Assets,null,null,null,null,null,null,null,null,null,null,-28975102.92,-2408311.97,-31383414.89,null,7,99,100,1005,D,UORG,3,2.30.4,2025,4,2025,3,09,30
2025-09-30,57120076,57120081,Other,null,-727485.85,-737358.90,-784031.42,-701450.76,-664043.65,-707282.19,-790524.57,-744388.91,-728238.28,-748348.23,-512594.59,-7845747.35,-10515564.24,7,100,101,1010,D,UORG,3,2.30.5,2025,4,2025,3,09,30
2025-09-30,57119993,57120082,Totals This Year:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,101,102,1020,S,SL,2,2.31,2025,4,2025,3,09,30
2025-09-30,57120082,57120083,Total Outlays,584220273025.31,668517135060.47,541146327504.76,641934549325.42,603440881114.84,528173752442.68,591769368657.85,686880598492.67,499435701746.96,629634508710.84,689107213868.44,345713357099.06,7009973667049.30,null,7,102,103,1030,T,SL,3,2.31.1,2025,4,2025,3,09,30
2025-09-30,57120083,57120084,(On-Budget),475361185296.56,546636864695.97,453674855519.23,530261282123.11,477773101605.61,384754382964.01,476628792352.85,556465823785.74,392858310374.13,515243216246.96,555571667696.06,213137968866.21,5578367451526.44,null,7,103,104,1040,T,SL,4,2.31.1.1,2025,4,2025,3,09,30
2025-09-30,57120083,57120085,(Off-Budget),108859087728.75,121880270364.50,87471471985.53,111673267202.31,125667779509.23,143419369478.67,115140576305.00,130414774706.93,106577391372.83,114391292463.88,133535546172.38,132575388232.85,1431606215522.86,null,7,104,105,1050,T,SL,4,2.31.1.2,2025,4,2025,3,09,30
2025-09-30,null,57119993,Outlays:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,18,18,200,S,SL,1,2,2025,4,2025,3,09,30
2025-09-30,57119993,57120001,Department of Defense--Military Programs:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,26,26,340,S,C,2,2.5,2025,4,2025,3,09,30
2025-09-30,57119993,57120034,Department of the Treasury:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,59,59,770,S,C,2,2.16,2025,4,2025,3,09,30
2025-09-30,57119993,57120061,Independent Agencies,null,null,null,null,null,null,null,null,null,null,null,null,null,-1804864.00,7,84,84,909,D,C,2,2.29,2025,4,2025,3,09,30
2025-09-30,57120061,57120074,Tennessee Valley Authority,163309781.82,416917287.08,401682170.23,177538280.68,75262030.47,-20423991.42,105808397.62,158857983.85,179097168.37,67826731.01,1093941476.06,-259106242.80,2560711072.97,668597944.88,7,93,94,930,D,A,3,2.29.3,2025,4,2025,3,09,30
2025-09-30,57120061,57120075,Other,3790382517.53,5459508647.43,2647002228.38,3691738297.23,2621904974.27,1702399458.48,3491723960.98,3019286722.45,-3323806485.98,2771219684.31,4083502790.57,272373622.61,30227236418.26,36063491801.95,7,94,95,940,D,A,3,2.29.4,2025,4,2025,3,09,30
2025-09-30,57119993,57120076,Undistributed Offsetting Receipts:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,95,96,950,S,SL,2,2.30,2025,4,2025,3,09,30
2025-09-30,57120076,57120077,"Employer Share, Employee Retirement",-42727856006.77,-8520174373.25,-8335534955.79,-9831018813.87,-8630227103.52,-9295172366.93,-9012809489.79,-9010551356.87,-8774787650.52,-9021074997.90,-9946713945.12,-11344605798.48,-144450526858.81,-139718177360.23,7,96,97,970,D,UORG,3,2.30.1,2025,4,2025,3,09,30
2025-09-30,57120076,57120078,Interest Received by Trust Funds,-439450569.86,-5542255924.58,-57199812923.47,-2695081356.64,-10350159249.14,-9515494057.66,-10983639555.58,-6039756598.81,-59365268925.90,-4656299589.95,-16151187912.57,-4608690325.91,-187547096990.07,-183822623125.32,7,97,98,980,D,UORG,3,2.30.2,2025,4,2025,3,09,30
2025-09-30,57120082,57120086,Total-Surplus (+) or Deficit (-),-257450036967.21,-366762835247.68,-86731619013.29,-128640206673.49,-307017197292.27,-160528321499.36,258399949114.96,-315651741381.91,27009650010.01,-291142660287.67,-344791891858.12,197949630362.16,-1775357280733.87,null,7,105,106,1060,T,SL,3,2.31.2,2025,4,2025,3,09,30
2025-09-30,57120086,57120087,(On-Budget),-236201949238.46,-339600564883.18,-98068791310.46,-137999939471.18,-283367417783.04,-129903540588.00,241582525419.96,-288569966674.98,-2562409926.77,-273068367823.79,-310122345685.74,230396067627.37,-1627486700338.27,null,7,106,107,1070,T,SL,4,2.31.2.1,2025,4,2025,3,09,30
2025-09-30,57120001,57120004,International Reconstruction and Other Assistance,null,null,null,null,null,null,null,null,null,null,null,null,null,1616056.99,7,29,29,363,D,B,3,2.5.3,2025,4,2025,3,09,30
2025-09-30,57119993,57120031,Department of Transportation:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,56,56,740,S,C,2,2.15,2025,4,2025,3,09,30
2025-09-30,57119993,57120045,Executive Office of the President,40979507.14,32109112.93,53796148.13,56973314.53,-447790018.23,37444995.79,43342261.65,45737314.96,-460278803.03,49033457.42,43637661.49,-3464998.25,-508480045.47,606558684.38,7,69,69,815,D,C,2,2.21,2025,4,2025,3,09,30
2025-09-30,57120090,57120092,(Off-Budget),103013044793.07,113709640389.91,83605670532.44,104019708337.95,119346814904.93,121531805914.08,104889730116.80,119667080396.65,95183292393.30,109546444990.37,122802780394.71,122995449487.54,null,1320311462651.75,7,111,112,1110,T,SLI,4,2.31.4.2,2025,4,2025,3,09,30
2025-09-30,57120082,57120093,Total-Surplus (+) or Deficit (-) Prior Year,-66563551129.73,-314012002287.09,-129354114564.24,-21930352569.72,-296274651841.19,-236555953275.22,209529306625.33,-347130893691.65,-70965292476.34,-243741087297.43,-380080405434.50,80288798313.57,null,-1816790199628.21,7,112,113,1130,T,SLI,3,2.31.5,2025,4,2025,3,09,30
2025-09-30,57120093,57120094,(On-Budget),-45136506336.66,-288139361897.18,-147951741782.18,-34909644231.77,-274710836936.26,-222952990576.22,185538036742.13,-327461813295.00,-114993225305.22,-228612642307.06,-354117625039.79,97086882631.87,null,-1756361468333.34,7,113,114,1140,T,SLI,4,2.31.5.1,2025,4,2025,3,09,30
2025-09-30,57120093,57120095,(Off-Budget),-21427044793.07,-25872640389.91,18597627217.94,12979291662.05,-21563814904.93,-13602962699.00,23991269883.20,-19669080396.65,44027932828.88,-15128444990.37,-25962780394.71,-16798084318.30,null,-60428731294.87,7,114,115,1150,T,SLI,4,2.31.5.2,2025,4,2025,3,09,30
2025-09-30,57119976,57119979,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,4,4,50,S,RSG,2,1.3,2025,4,2025,3,09,30
2025-09-30,57120014,57120016,Centers for Medicare and Medicaid Services:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,41,41,480,S,B,3,2.8.2,2025,4,2025,3,09,30
2025-09-30,57119993,57120056,Small Business Administration,239510648.25,-617776.54,67825027.90,461951472.92,301116664.66,264050560.24,17177253.93,184041595.17,168315329.87,216948273.84,-1179584524.79,95980093.37,836714618.82,33196528082.90,7,79,79,855,D,C,2,2.27,2025,4,2025,3,09,30
2025-09-30,57120057,57120058,Federal Old-Age and Survivors Insurance Trust Fund (Off-Budget),111800973933.30,111548225209.43,111236408684.20,114839125781.99,115249795758.47,130884132190.51,118746741093.81,118837516382.62,128036037881.68,119448160038.28,120089673846.13,120075207002.20,1420791997802.62,1304396689140.88,7,81,81,880,D,P,3,2.28.1,2025,4,2025,3,09,30
2025-09-30,57120057,57120059,Federal Disability Insurance Trust Fund (Off-Budget),13321701766.64,13225047211.87,13059264382.07,13250605320.77,13399060909.45,13704580689.76,13367427421.60,13602032436.67,13204421760.88,13301998358.52,13471268653.60,13291209771.51,160198618683.34,156511062198.96,7,82,82,900,D,P,3,2.28.2,2025,4,2025,3,09,30
2025-09-30,57120057,57120060,Other,5002560048.91,10362716845.18,5577741314.93,5509201127.21,5387451066.15,250546762.00,5631052606.50,11194562454.60,8354308.41,5392500230.96,10655721872.31,552194334.01,65524602971.17,58825894074.15,7,83,83,905,D,P,3,2.28.3,2025,4,2025,3,09,30
2025-09-30,57120062,57120066,Deposit Insurance Fund,18812729.02,-3504704218.25,-5373772957.31,-47182637.49,-49714829.95,-5271627508.28,-302120793.90,-15423096.57,-5442941631.25,-631856761.91,136600658.41,-10678223298.23,-31162154345.71,37102073524.99,7,85,86,913,D,P,4,2.29.1.1,2025,4,2025,3,09,30
2025-09-30,57120062,57120067,FSLIC Resolution Fund,-4042840.99,-3651973.30,-8872960.85,-3686590.13,-3344773.70,-4028407.41,-3587484.10,-3603497.37,-3636331.41,-3735145.20,-3554791.79,-3786822.11,-49531618.36,-52338172.48,7,86,87,914,D,P,4,2.29.1.2,2025,4,2025,3,09,30
2025-09-30,57120062,57120068,Office of Inspector General,null,null,null,null,null,null,null,null,null,null,null,47500000.00,47500000.00,47500000.00,7,87,88,916,D,P,4,2.29.1.3,2025,4,2025,3,09,30
2025-09-30,57120061,57120069,Postal Service:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,88,89,918,S,A,3,2.29.2,2025,4,2025,3,09,30
2025-09-30,57120069,57120070,Off-Budget:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,89,90,920,S,P,4,2.29.2.1,2025,4,2025,3,09,30
2025-09-30,57120070,57120071,Public Enterprise Funds,354727982.87,-254174440.43,-1628238616.37,882103284.87,-214594306.36,1134904039.23,-218595811.02,265619813.20,165296469.87,-481138261.15,2561066779.43,2244283867.20,4811260801.34,3613023939.92,7,90,91,921,D,P,5,2.29.2.1.1,2025,4,2025,3,09,30
2025-09-30,57120070,57120072,Other,60108179.94,null,668644.09,62221245.51,null,147008219.18,null,null,1336277.12,293056.36,41632.43,118810.82,271796065.45,271201969.65,7,91,92,922,D,P,5,2.29.2.1.2,2025,4,2025,3,09,30
2025-09-30,57120069,57120073,Other,null,null,null,455142138.97,527440067.03,-901132206.00,null,null,null,null,null,null,81450000.00,81450000.00,7,92,93,924,D,P,4,2.29.2.2,2025,4,2025,3,09,30
2025-09-30,57120086,57120088,(Off-Budget),-21248087728.75,-27162270364.50,11337172297.17,9359732797.69,-23649779509.23,-30624780911.36,16817423695.00,-27081774706.93,29572059936.78,-18074292463.88,-34669546172.38,-32446437265.21,-147870580395.60,null,7,107,108,1080,T,SL,4,2.31.2.2,2025,4,2025,3,09,30
2025-09-30,57120082,57120089,Total Borrowing from the Public,262171218266.91,221294627808.71,48270807965.07,70451416276.67,2585650695.72,2000178278.53,-57042859809.30,98620178058.51,3211778433.56,572765247509.72,439268245192.29,309492305876.62,1973088794553.01,1959809451328.12,7,108,109,1086,T,SL,3,2.31.3,2025,4,2025,3,09,30
