Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57118112,57118123,Total -- Off-Budget,105715460967.64,5586510000.00,100128950967.64,1289322145127.26,5586510000.00,1283735635127.26,1265153475356.88,5270744000.00,1259882731356.88,4,57,57,850,T,SL,2,8.2,2025,4,2025,3,09,30
2025-09-30,57117951,57117955,Federal Insurance Contributions Act Taxes,92156000000.00,4775565000.00,87380435000.00,1047341000000.00,4775565000.00,1042565435000.00,1001227000000.00,4505636000.00,996721364000.00,4,10,10,200,D,SRS,4,3.1.1.1,2025,4,2025,3,09,30
2025-09-30,57117951,57117960,Self-Employment Contributions Act Taxes,8870000000.00,null,8870000000.00,54939000000.00,null,54939000000.00,54478000000.00,null,54478000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2025,4,2025,3,09,30
2025-09-30,57117951,57117968,Adjustments Attributable to Prior Years-FICA,-10654628187.28,null,-10654628187.28,-2309707000.55,null,-2309707000.55,22854040331.43,null,22854040331.43,4,12,12,209,D,SRS,4,3.1.1.3,2025,4,2025,3,09,30
2025-09-30,57117951,57117972,Adjustments Attrbutable to Prior Years-SECA,-1560408.02,null,-1560408.02,2186847130.76,null,2186847130.76,2930581466.21,null,2930581466.21,4,13,13,14360,D,SRS,4,3.1.1.4,2025,4,2025,3,09,30
2025-09-30,57118008,57118029,Adjustments Attributable to Prior Years-SECA,-495690.40,null,-495690.40,1746059582.03,null,1746059582.03,2663322850.95,null,2663322850.95,4,26,26,14362,D,SRS,4,3.1.3.5,2025,4,2025,3,09,30
2025-09-30,57118008,57118032,Total -- Federal Hospital Insurance Trust Fund,31684484234.11,null,31684484234.11,395350359469.67,null,395350359469.67,386857646680.04,null,386857646680.04,4,27,27,229,T,RSG,4,3.1.3.6,2025,4,2025,3,09,30
2025-09-30,57117948,57118035,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,28,28,230,S,RSG,3,3.1.4,2025,4,2025,3,09,30
2025-09-30,57118035,57118037,Rail Pension and Supplemental Annuity,282251455.74,47262.00,282204193.74,3869102704.76,14052399.83,3855050304.93,3696695061.51,13887631.78,3682807429.73,4,29,29,235,D,RSG,4,3.1.4.1,2025,4,2025,3,09,30
2025-09-30,57118035,57118040,Social Security Equivalent Account,328855943.50,42218.86,328813724.64,2702523648.33,12062309.96,2690461338.37,2587190701.75,12563691.66,2574627010.09,4,30,30,240,D,RSG,4,3.1.4.2,2025,4,2025,3,09,30
2025-09-30,57117948,57118043,Total -- Employment and General Retirement,138011052600.99,5586599480.86,132424453120.13,1691244130950.02,5612624709.79,1685631506240.23,1658295007800.18,5297195323.44,1652997812476.74,4,31,31,241,T,RSG,3,3.1.5,2025,4,2025,3,09,30
2025-09-30,57118045,57118048,Deposits by States,724713065.78,null,724713065.78,45383226479.39,null,45383226479.39,39811466947.58,null,39811466947.58,4,33,33,251,D,RSG,3,3.2.1,2025,4,2025,3,09,30
2025-09-30,57118045,57118050,Federal Unemployment Taxes,37434712.74,14986920.73,22447792.01,8775491655.74,143849173.80,8631642481.94,8129017853.12,123965205.19,8005052647.93,4,34,34,254,D,RSG,3,3.2.2,2025,4,2025,3,09,30
2025-09-30,57118045,57118051,Railroad Unemployment Taxes,65106.47,null,65106.47,33701183.73,null,33701183.73,158718628.69,null,158718628.69,4,35,35,255,D,RSG,3,3.2.3,2025,4,2025,3,09,30
2025-09-30,57117944,57118059,Other Retirement:,null,null,null,null,null,null,null,null,null,4,37,37,270,S,RSG,2,3.3,2025,4,2025,3,09,30
2025-09-30,null,57118074,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,42,42,300,S,RSG,1,4,2025,4,2025,3,09,30
2025-09-30,57118074,57118084,Black Lung Disability Trust Fund,19878054.00,null,19878054.00,238257669.00,null,238257669.00,242562840.00,null,242562840.00,4,46,46,313,D,RSG,2,4.4,2025,4,2025,3,09,30
2025-09-30,57118059,57118065,Non-Federal Employees Retirement,1592100.75,null,1592100.75,17476386.44,null,17476386.44,23219041.77,null,23219041.77,4,39,39,284,D,RSG,3,3.3.2,2025,4,2025,3,09,30
2025-09-30,57118059,57118068,Total -- Other Retirement,763729465.60,null,763729465.60,8613735577.56,null,8613735577.56,7953956052.72,null,7953956052.72,4,40,40,285,T,RSG,3,3.3.3,2025,4,2025,3,09,30
2025-09-30,57117944,57118071,Total -- Social Insurance and Retirement Receipts,139536994951.58,5601586401.59,133935408549.99,1754050285846.44,5756473883.59,1748293811962.85,1714348167282.29,5421160528.63,1708927006753.66,4,41,41,286,T,RSG,2,3.4,2025,4,2025,3,09,30
2025-09-30,null,57118096,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,50,50,800,S,RSG,1,7,2025,4,2025,3,09,30
2025-09-30,57118096,57118099,"Deposit of Earnings, Federal Reserve System",446226190.59,null,446226190.59,5489716194.09,null,5489716194.09,3130982471.65,null,3130982471.65,4,51,51,805,D,RSG,2,7.1,2025,4,2025,3,09,30
2025-09-30,57118074,57118087,Total -- Excise Taxes,13158500350.74,379115931.00,12779384419.74,112068249577.10,6131784269.47,105936465307.63,99780522742.71,-1654803954.53,101435326697.24,4,47,47,314,T,RSG,2,4.5,2025,4,2025,3,09,30
2025-09-30,null,57118090,Estate and Gift Taxes,3259713451.24,224359441.81,3035354009.43,31111135924.87,1649090834.42,29462045090.45,32867889578.42,1252013469.44,31615876108.98,4,48,48,350,D,RSG,1,5,2025,4,2025,3,09,30
2025-09-30,null,57118093,Customs Duties,30492813435.43,817860113.19,29674953322.24,202357474701.61,7491734828.79,194865739872.82,83771845472.14,6734935527.25,77036909944.89,4,49,49,405,D,RSG,1,6,2025,4,2025,3,09,30
2025-09-30,57118045,57118056,Total -- Unemployment Insurance,762212884.99,14986920.73,747225964.26,54192419318.86,143849173.80,54048570145.06,48099203429.39,123965205.19,47975238224.20,4,36,36,269,T,RSG,3,3.2.4,2025,4,2025,3,09,30
2025-09-30,57118059,57118062,Federal Employees' Retirement--Employee Share,762137364.85,null,762137364.85,8596259191.12,null,8596259191.12,7930737010.95,null,7930737010.95,4,38,38,279,D,RSG,3,3.3.1,2025,4,2025,3,09,30
2025-09-30,57118074,57118076,Miscellaneous Excise Taxes,3915789048.97,314355931.00,3601433117.97,44435836041.94,5683419567.96,38752416473.98,38459989951.56,-1932848926.40,40392838877.96,4,43,43,305,D,RSG,2,4.1,2025,4,2025,3,09,30
2025-09-30,57118074,57118079,Airport and Airway Trust Fund,3596421377.71,null,3596421377.71,22653671006.43,2609701.51,22651061304.92,18125965613.08,-166701028.13,18292666641.21,4,44,44,308,D,RSG,2,4.2,2025,4,2025,3,09,30
2025-09-30,57118074,57118082,Highway Trust Fund,5626411870.06,64760000.00,5561651870.06,44740484859.73,445755000.00,44294729859.73,42952004338.07,444746000.00,42507258338.07,4,45,45,310,D,RSG,2,4.3,2025,4,2025,3,09,30
2025-08-31,null,56824864,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2025,4,2025,3,08,31
2025-08-31,56824963,56824967,Highway Trust Fund,2988663994.69,43174000.00,2945489994.69,39114072989.67,380995000.00,38733077989.67,38338929012.28,380125000.00,37958804012.28,4,45,45,310,D,RSG,2,4.3,2025,4,2025,3,08,31
2025-08-31,56824963,56824970,Total -- Excise Taxes,8520848552.26,296525681.14,8224322871.12,98909749226.36,5752668338.47,93157080887.89,86901370846.51,-2238321043.94,89139691890.45,4,47,47,314,T,RSG,2,4.5,2025,4,2025,3,08,31
2025-08-31,null,56824972,Estate and Gift Taxes,2518278640.94,184092589.41,2334186051.53,27851422473.63,1424731392.61,26426691081.02,30417806140.15,1006030833.31,29411775306.84,4,48,48,350,D,RSG,1,5,2025,4,2025,3,08,31
2025-08-31,null,56824973,Customs Duties,30131974469.28,629031719.74,29502942749.54,171864661266.18,6673874715.60,165190786550.58,76042469200.65,6254818724.11,69787650476.54,4,49,49,405,D,RSG,1,6,2025,4,2025,3,08,31
2025-08-31,null,56824975,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,50,50,800,S,RSG,1,7,2025,4,2025,3,08,31
2025-08-31,56824975,56824978,"Deposit of Earnings, Federal Reserve System",416989932.79,null,416989932.79,5043490003.50,null,5043490003.50,2876211883.60,null,2876211883.60,4,51,51,805,D,RSG,2,7.1,2025,4,2025,3,08,31
2025-08-31,56824975,56824981,Universal Service Fund,717447044.11,null,717447044.11,7869134221.02,null,7869134221.02,7678824934.58,null,7678824934.58,4,52,52,807,D,RSG,2,7.2,2025,4,2025,3,08,31
2025-08-31,56824975,56824983,All Other,13429749704.15,1206398.22,13428543305.93,31683795862.83,21001822.45,31662794040.38,28008511318.19,14381324.23,27994129993.96,4,53,53,810,D,RSG,2,7.3,2025,4,2025,3,08,31
2025-08-31,56824975,56824986,Total -- Miscellaneous Receipts,14564186681.05,1206398.22,14562980282.83,44596420087.35,21001822.45,44575418264.90,38563548136.37,14381324.23,38549166812.14,4,54,54,820,T,RSG,2,7.4,2025,4,2025,3,08,31
2025-08-31,null,56824988,Total -- Receipts,356698098148.13,12382776137.81,344315322010.32,5055569005095.73,364615606241.52,4690953398854.21,4721832785786.24,330716852025.07,4391115933761.17,4,55,55,830,T,SL,1,8,2025,4,2025,3,08,31
2025-08-31,56824872,56824954,Other Retirement:,null,null,null,null,null,null,null,null,null,4,37,37,270,S,RSG,2,3.3,2025,4,2025,3,08,31
2025-08-31,56824963,56824966,Airport and Airway Trust Fund,1844838000.00,null,1844838000.00,19057249628.72,2609701.51,19054639927.21,15503715988.91,-185251691.50,15688967680.41,4,44,44,308,D,RSG,2,4.2,2025,4,2025,3,08,31
2025-08-31,56824963,56824968,Black Lung Disability Trust Fund,15472000.00,null,15472000.00,218379615.00,null,218379615.00,248120975.00,null,248120975.00,4,46,46,313,D,RSG,2,4.4,2025,4,2025,3,08,31
2025-08-31,56824988,56824992,Total -- On-Budget,257832098148.13,12382776137.81,245449322010.32,3871962320936.11,364615606241.52,3507346714694.59,3568147419598.60,330716852025.07,3237430567573.53,4,56,56,840,T,SL,2,8.1,2025,4,2025,3,08,31
2025-08-31,56824988,56824996,Total -- Off-Budget,98866000000.00,null,98866000000.00,1183606684159.62,null,1183606684159.62,1153685366187.64,null,1153685366187.64,4,57,57,850,T,SL,2,8.2,2025,4,2025,3,08,31
2025-08-31,56824875,56824934,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,28,28,230,S,RSG,3,3.1.4,2025,4,2025,3,08,31
2025-08-31,56824872,56824961,Total -- Social Insurance and Retirement Receipts,134051983901.62,11125183.06,134040858718.56,1614513290894.86,154887482.00,1614358403412.86,1567042950605.52,136396450.04,1566906554155.48,4,41,41,286,T,RSG,2,3.4,2025,4,2025,3,08,31
2025-08-31,null,56824963,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,42,42,300,S,RSG,1,4,2025,4,2025,3,08,31
2025-08-31,56824963,56824964,Miscellaneous Excise Taxes,3671874557.57,253351681.14,3418522876.43,40520046992.97,5369063636.96,35150983356.01,32810604870.32,-2433194352.44,35243799222.76,4,43,43,305,D,RSG,2,4.1,2025,4,2025,3,08,31
2025-08-31,56824872,56824943,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,32,32,250,S,RSG,2,3.2,2025,4,2025,3,08,31
2025-08-31,56824943,56824948,Railroad Unemployment Taxes,120894.33,null,120894.33,33636077.26,null,33636077.26,158667772.84,null,158667772.84,4,35,35,255,D,RSG,3,3.2.3,2025,4,2025,3,08,31
2025-08-31,56824943,56824951,Total -- Unemployment Insurance,3927694186.57,11081841.46,3916612345.11,53430206433.87,128862253.07,53301344180.80,47852847918.05,110688123.15,47742159794.90,4,36,36,269,T,RSG,3,3.2.4,2025,4,2025,3,08,31
2025-08-31,56824954,56824956,Federal Employees' Retirement--Employee Share,852555500.12,null,852555500.12,7834121826.27,null,7834121826.27,7224628049.42,null,7224628049.42,4,38,38,279,D,RSG,3,3.3.1,2025,4,2025,3,08,31
2025-08-31,56824954,56824958,Non-Federal Employees Retirement,1636135.81,null,1636135.81,15884285.69,null,15884285.69,19785262.57,null,19785262.57,4,39,39,284,D,RSG,3,3.3.2,2025,4,2025,3,08,31
2025-08-31,56824954,56824960,Total -- Other Retirement,854191635.93,null,854191635.93,7850006111.96,null,7850006111.96,7244413311.99,null,7244413311.99,4,40,40,285,T,RSG,3,3.3.3,2025,4,2025,3,08,31
2025-08-31,56824912,56824915,Federal Insurance Contributions Act Taxes,29398000000.00,null,29398000000.00,337239000000.00,null,337239000000.00,319934000000.00,null,319934000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2025,4,2025,3,08,31
2025-08-31,56824912,56824919,Self-Employment Contributions Act Taxes,418000000.00,null,418000000.00,21543000000.00,null,21543000000.00,22157000000.00,null,22157000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2025,4,2025,3,08,31
2025-08-31,56824912,56824924,Receipts from Railroad Retirement Board,null,null,null,686200000.00,null,686200000.00,645200000.00,null,645200000.00,4,24,24,226,D,SRS,4,3.1.3.3,2025,4,2025,3,08,31
2025-08-31,56824864,56824865,Withheld,146648068677.85,null,null,1753469005969.94,null,null,1627477530208.74,null,null,4,2,2,102,D,SRS,2,1.1,2025,4,2025,3,08,31
2025-08-31,56824875,56824940,Total -- Employment and General Retirement,129270098079.12,43341.60,129270054737.52,1553233078349.03,26025228.93,1553207053120.10,1511945689375.48,25708326.89,1511919981048.59,4,31,31,241,T,RSG,3,3.1.5,2025,4,2025,3,08,31
2025-08-31,56824943,56824945,Deposits by States,3882411208.80,null,3882411208.80,44658513413.61,null,44658513413.61,39595812292.04,null,39595812292.04,4,33,33,251,D,RSG,3,3.2.1,2025,4,2025,3,08,31
2025-08-31,56824943,56824946,Federal Unemployment Taxes,45162083.44,11081841.46,34080241.98,8738056943.00,128862253.07,8609194689.93,8098367853.17,110688123.15,7987679730.02,4,34,34,254,D,RSG,3,3.2.2,2025,4,2025,3,08,31
2025-08-31,56824892,56824907,Adjustments Attributable to Prior Years-SECA,null,null,null,376009914.21,null,376009914.21,507901959.81,null,507901959.81,4,19,19,14361,D,SRS,4,3.1.2.4,2025,4,2025,3,08,31
2025-08-31,56824892,56824909,Total -- Federal Disability Insurance Trust Fund,14352000000.00,null,14352000000.00,171819355434.11,null,171819355434.11,167483076035.39,null,167483076035.39,4,20,20,220,T,RSG,4,3.1.2.5,2025,4,2025,3,08,31
2025-08-31,56824875,56824912,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2025,4,2025,3,08,31
2025-08-31,56824912,56824928,Adjustments Attributable to Prior Years-FICA,null,null,null,2451119963.13,null,2451119963.13,7203930180.78,null,7203930180.78,4,25,25,228,D,SRS,4,3.1.3.4,2025,4,2025,3,08,31
2025-08-31,56824912,56824930,Adjustments Attributable to Prior Years-SECA,null,null,null,1746555272.43,null,1746555272.43,2663557500.61,null,2663557500.61,4,26,26,14362,D,SRS,4,3.1.3.5,2025,4,2025,3,08,31
2025-08-31,56824892,56824904,Adjustments Attributable to Prior Years-FICA,null,null,null,1420345519.90,null,1420345519.90,3930174075.58,null,3930174075.58,4,18,18,219,D,SRS,4,3.1.2.3,2025,4,2025,3,08,31
2025-08-31,56824892,56824896,Federal Insurance Contributions Act Taxes,14190000000.00,null,14190000000.00,162201000000.00,null,162201000000.00,155293000000.00,null,155293000000.00,4,16,16,212,D,SRS,4,3.1.2.1,2025,4,2025,3,08,31
2025-08-31,56824875,56824892,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2025,4,2025,3,08,31
2025-08-31,56824864,56824866,Presidential Election Campaign Fund,313524.00,null,null,19379490.00,null,null,21038988.00,null,null,4,3,3,105,D,SRS,2,1.2,2025,4,2025,3,08,31
2025-08-31,56824864,56824867,Other,15998787758.51,null,null,922981312084.37,null,null,840352279722.48,null,null,4,4,4,110,D,SRS,2,1.3,2025,4,2025,3,08,31
2025-08-31,56824864,56824869,Total -- Individual Income Taxes,162647169960.36,9502888805.82,153144281154.54,2676469697544.31,318838392660.23,2357631304884.08,2467850848919.22,291841340635.55,2176009508283.67,4,5,5,120,T,RSG,2,1.4,2025,4,2025,3,08,31
2025-08-31,null,56824870,Corporation Income Taxes,4263655942.62,1757905760.42,2505750182.20,421363763603.04,31750049830.16,389613713772.88,455013791937.82,33702205101.77,421311586836.05,4,6,6,130,D,RSG,1,2,2025,4,2025,3,08,31
2025-08-31,null,56824872,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2025,4,2025,3,08,31
2025-08-31,56824872,56824875,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2025,4,2025,3,08,31
2025-08-31,56824934,56824938,Social Security Equivalent Account,284731666.71,20449.43,284711217.28,2373667704.83,12020091.10,2361647613.73,2299771252.45,12215300.58,2287555951.87,4,30,30,240,D,RSG,4,3.1.4.2,2025,4,2025,3,08,31
2025-08-31,56824875,56824877,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2025,4,2025,3,08,31
2025-08-31,56824877,56824878,Federal Insurance Contributions Act Taxes,83563000000.00,null,83563000000.00,955185000000.00,null,955185000000.00,914502000000.00,null,914502000000.00,4,10,10,200,D,SRS,4,3.1.1.1,2025,4,2025,3,08,31
2025-08-31,56824877,56824880,Self-Employment Contributions Act Taxes,951000000.00,null,951000000.00,46069000000.00,null,46069000000.00,45654000000.00,null,45654000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2025,4,2025,3,08,31
2025-08-31,56824877,56824886,Adjustments Attributable to Prior Years-FICA,null,null,null,8344921186.73,null,8344921186.73,23113157126.86,null,23113157126.86,4,12,12,209,D,SRS,4,3.1.1.3,2025,4,2025,3,08,31
2025-08-31,56824877,56824887,Adjustments Attrbutable to Prior Years-SECA,null,null,null,2188407538.78,null,2188407538.78,2933133025.39,null,2933133025.39,4,13,13,14360,D,SRS,4,3.1.1.4,2025,4,2025,3,08,31
2025-08-31,56824877,56824889,Total -- Federal Old-Age and Survivors Insurance Trust Fund,84514000000.00,null,84514000000.00,1011787328725.51,null,1011787328725.51,986202290152.25,null,986202290152.25,4,14,14,210,T,RSG,4,3.1.1.5,2025,4,2025,3,08,31
2025-08-31,56824892,56824899,Self-Employment Contributions Act Taxes,162000000.00,null,162000000.00,7822000000.00,null,7822000000.00,7752000000.00,null,7752000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2025,4,2025,3,08,31
2025-08-31,56824912,56824932,Total -- Federal Hospital Insurance Trust Fund,29816000000.00,null,29816000000.00,363665875235.56,null,363665875235.56,352603687681.39,null,352603687681.39,4,27,27,229,T,RSG,4,3.1.3.6,2025,4,2025,3,08,31
2025-08-31,56824934,56824936,Rail Pension and Supplemental Annuity,303366412.41,22892.17,303343520.24,3586851249.02,14005137.83,3572846111.19,3356864254.00,13493026.31,3343371227.69,4,29,29,235,D,RSG,4,3.1.4.1,2025,4,2025,3,08,31
2025-07-31,null,56654002,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2025,4,2025,3,07,31
2025-07-31,null,56654014,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2025,4,2025,3,07,31
2025-07-31,56654016,56654084,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,28,28,230,S,RSG,3,3.1.4,2025,4,2025,3,07,31
2025-07-31,null,56654161,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,50,50,800,S,RSG,1,7,2025,4,2025,3,07,31
2025-07-31,56654048,56654070,Receipts from Railroad Retirement Board,null,null,null,686200000.00,null,686200000.00,645200000.00,null,645200000.00,4,24,24,226,D,SRS,4,3.1.3.3,2025,4,2025,3,07,31
2025-07-31,null,56654158,Customs Duties,28440326021.82,770271990.42,27670054031.40,141732686796.90,6044842995.86,135687843801.04,68427177518.03,5686478590.45,62740698927.58,4,49,49,405,D,RSG,1,6,2025,4,2025,3,07,31
2025-07-31,56654161,56654163,"Deposit of Earnings, Federal Reserve System",473620003.97,null,473620003.97,4626500070.71,null,4626500070.71,2584308926.36,null,2584308926.36,4,51,51,805,D,RSG,2,7.1,2025,4,2025,3,07,31
2025-07-31,56654016,56654048,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2025,4,2025,3,07,31
2025-07-31,56654137,56654141,Airport and Airway Trust Fund,1473563528.74,null,1473563528.74,17212411628.72,2609701.51,17209801927.21,13535013988.91,-185251691.50,13720265680.41,4,44,44,308,D,RSG,2,4.2,2025,4,2025,3,07,31
