Record Date,Parent ID,Classification ID,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57120133,57120135,International Affairs,-13820189.56,45169891179.70,56390123864.18,9,15,15,150,D,F,2,2.2,2025,4,2025,3,09,30
2025-09-30,57120133,57120136,"General Science, Space, and Technology",3982994881.94,42084437535.94,41562428368.18,9,16,16,160,D,F,2,2.3,2025,4,2025,3,09,30
2025-09-30,57120133,57120137,Energy,1264727860.35,20892010637.80,13789670148.44,9,17,17,170,D,F,2,2.4,2025,4,2025,3,09,30
2025-09-30,57120133,57120144,Health,93546724566.09,978877168639.95,911685115488.33,9,24,24,240,D,F,2,2.11,2025,4,2025,3,09,30
2025-09-30,57120133,57120148,Veterans Benefits and Services,17364368867.20,377161882980.59,325639822418.70,9,28,28,280,D,F,2,2.15,2025,4,2025,3,09,30
2025-09-30,57120133,57120149,Administration of Justice,9586102252.05,85180458290.00,85034006029.70,9,29,29,290,D,F,2,2.16,2025,4,2025,3,09,30
2025-09-30,57120121,57120122,Individual Income Taxes,298413142391.55,2656044447275.63,2426066988325.89,9,2,2,20,D,RSG,2,1.1,2025,4,2025,3,09,30
2025-09-30,57120121,57120123,Corporation Income Taxes,62475589646.90,452089303419.78,529866802637.57,9,3,3,30,D,RSG,2,1.2,2025,4,2025,3,09,30
2025-09-30,57120121,57120124,Social Insurance and Retirement Receipts:,null,null,null,9,4,4,40,S,RSG,2,1.3,2025,4,2025,3,09,30
2025-09-30,57120124,57120125,Employment and General Retirement,132424453120.13,1685631506240.23,1652997812476.74,9,5,5,50,D,RSG,3,1.3.1,2025,4,2025,3,09,30
2025-09-30,57120124,57120126,Unemployment Insurance,747225964.26,54048570145.06,47975238224.20,9,6,6,60,D,RSG,3,1.3.2,2025,4,2025,3,09,30
2025-09-30,57120124,57120127,Other Retirement,763729465.60,8613735577.56,7953956052.72,9,7,7,70,D,RSG,3,1.3.3,2025,4,2025,3,09,30
2025-09-30,57120121,57120129,Estate and Gift Taxes,3035354009.43,29462045090.45,31615876108.98,9,9,9,90,D,RSG,2,1.5,2025,4,2025,3,09,30
2025-09-30,57120121,57120130,Customs Duties,29674953322.24,194865739872.82,77036909944.89,9,10,10,100,D,RSG,2,1.6,2025,4,2025,3,09,30
2025-09-30,57120121,57120131,Miscellaneous Receipts,3349155121.37,47924573386.27,43156615046.62,9,11,11,110,D,RSG,2,1.7,2025,4,2025,3,09,30
2025-09-30,57120121,57120132,Total,543662987461.22,5234616386315.43,4918105525514.85,9,12,12,120,T,SL,2,1.8,2025,4,2025,3,09,30
2025-09-30,57120133,57120134,National Defense,76037996123.42,916648676662.05,874040585085.73,9,14,14,140,D,F,2,2.1,2025,4,2025,3,09,30
2025-08-31,56827074,56827085,Health,79936466210.35,885330444073.86,824246951296.15,9,24,24,240,D,F,2,2.11,2025,4,2025,3,08,31
2025-08-31,56827074,56827086,Medicare,141371082821.79,964758946144.12,849792054702.03,9,25,25,250,D,F,2,2.12,2025,4,2025,3,08,31
2025-08-31,56827074,56827087,Income Security,59508238322.97,667976172201.15,633291979995.36,9,26,26,260,D,F,2,2.13,2025,4,2025,3,08,31
2025-08-31,56827074,56827088,Social Security,133557305255.24,1447322603343.22,1336727085449.52,9,27,27,270,D,F,2,2.14,2025,4,2025,3,08,31
2025-08-31,56827074,56827089,Veterans Benefits and Services,49849887567.85,359797514113.39,309786297815.37,9,28,28,280,D,F,2,2.15,2025,4,2025,3,08,31
2025-08-31,56827074,56827090,Administration of Justice,6833597536.80,75594356037.95,75864472258.19,9,29,29,290,D,F,2,2.16,2025,4,2025,3,08,31
2025-08-31,56827074,56827091,General Government,1668417700.10,29100825132.61,25670661946.68,9,30,30,300,D,F,2,2.17,2025,4,2025,3,08,31
2025-08-31,56827074,56827092,Net Interest,92698670655.87,933458659039.33,843384494818.58,9,31,31,320,D,F,2,2.18,2025,4,2025,3,08,31
2025-08-31,56827074,56827094,Undistributed Offsetting Receipts,-10453048274.61,-138351661088.03,-135147325373.31,9,32,32,330,D,F,2,2.19,2025,4,2025,3,08,31
2025-08-31,56827074,56827095,Total,689107213868.44,6664260309950.24,6288194931702.95,9,33,33,340,T,SL,2,2.20,2025,4,2025,3,08,31
2025-08-31,56827062,56827073,Total,344315322010.32,4690953398854.21,4391115933761.17,9,12,12,120,T,SL,2,1.8,2025,4,2025,3,08,31
2025-08-31,null,56827074,Net Outlays,null,null,null,9,13,13,130,S,SL,1,2,2025,4,2025,3,08,31
2025-08-31,56827074,56827075,National Defense,82632445714.19,840610680538.63,797821717812.72,9,14,14,140,D,F,2,2.1,2025,4,2025,3,08,31
2025-08-31,56827074,56827076,International Affairs,-6283902511.68,45183711369.26,60353710306.42,9,15,15,150,D,F,2,2.2,2025,4,2025,3,08,31
2025-08-31,56827062,56827069,Excise Taxes,8224322871.12,93157080887.89,89139691890.45,9,8,8,80,D,RSG,2,1.4,2025,4,2025,3,08,31
2025-08-31,56827062,56827070,Estate and Gift Taxes,2334186051.53,26426691081.02,29411775306.84,9,9,9,90,D,RSG,2,1.5,2025,4,2025,3,08,31
2025-08-31,56827062,56827071,Customs Duties,29502942749.54,165190786550.58,69787650476.54,9,10,10,100,D,RSG,2,1.6,2025,4,2025,3,08,31
2025-08-31,56827062,56827072,Miscellaneous Receipts,14562980282.83,44575418264.90,38549166812.14,9,11,11,110,D,RSG,2,1.7,2025,4,2025,3,08,31
2025-08-31,56827062,56827065,Social Insurance and Retirement Receipts:,null,null,null,9,4,4,40,S,RSG,2,1.3,2025,4,2025,3,08,31
2025-08-31,56827065,56827066,Employment and General Retirement,129270054737.52,1553207053120.10,1511919981048.59,9,5,5,50,D,RSG,3,1.3.1,2025,4,2025,3,08,31
2025-08-31,56827065,56827067,Unemployment Insurance,3916612345.11,53301344180.80,47742159794.90,9,6,6,60,D,RSG,3,1.3.2,2025,4,2025,3,08,31
2025-08-31,56827065,56827068,Other Retirement,854191635.93,7850006111.96,7244413311.99,9,7,7,70,D,RSG,3,1.3.3,2025,4,2025,3,08,31
2025-08-31,56827074,56827077,"General Science, Space, and Technology",3883314699.05,38101442654.00,37915475272.63,9,16,16,160,D,F,2,2.3,2025,4,2025,3,08,31
2025-08-31,56827074,56827078,Energy,2143457901.29,19627282777.45,12226474837.38,9,17,17,170,D,F,2,2.4,2025,4,2025,3,08,31
2025-08-31,56827062,56827063,Individual Income Taxes,153144281154.54,2357631304884.08,2176009508283.67,9,2,2,20,D,RSG,2,1.1,2025,4,2025,3,08,31
2025-08-31,56827062,56827064,Corporation Income Taxes,2505750182.20,389613713772.88,421311586836.05,9,3,3,30,D,RSG,2,1.2,2025,4,2025,3,08,31
2025-08-31,null,56827062,Receipts,null,null,null,9,1,1,10,S,SL,1,1,2025,4,2025,3,08,31
2025-08-31,56827074,56827080,Agriculture,4754740217.39,50074122468.16,36728943962.73,9,19,19,190,D,F,2,2.6,2025,4,2025,3,08,31
2025-08-31,56827074,56827081,Commerce and Housing Credit,9591327062.46,-15054449620.53,43390585275.33,9,20,20,200,D,F,2,2.7,2025,4,2025,3,08,31
2025-08-31,56827074,56827082,Transportation,13587745035.90,125787227701.14,118037589982.79,9,21,21,210,D,F,2,2.8,2025,4,2025,3,08,31
2025-08-31,56827074,56827083,Community and Regional Development,6286667904.82,78131680345.17,83057314726.33,9,22,22,220,D,F,2,2.9,2025,4,2025,3,08,31
2025-08-31,56827074,56827084,"Education, Training, Employment, and Social Services",11394970099.62,175055161399.82,284943505715.36,9,23,23,230,D,F,2,2.10,2025,4,2025,3,08,31
2025-08-31,56827074,56827079,Natural Resources and Environment,6145829949.04,81755591319.54,50102940902.69,9,18,18,180,D,F,2,2.5,2025,4,2025,3,08,31
2025-07-31,null,56656187,Receipts,null,null,null,9,1,1,10,S,SL,1,1,2025,4,2025,3,07,31
2025-07-31,56656187,56656188,Individual Income Taxes,145148350551.34,2204487023729.54,2039364725574.78,9,2,2,20,D,RSG,2,1.1,2025,4,2025,3,07,31
2025-07-31,56656187,56656189,Corporation Income Taxes,20834781891.63,387107963590.68,412503890164.69,9,3,3,30,D,RSG,2,1.2,2025,4,2025,3,07,31
2025-07-31,56656187,56656190,Social Insurance and Retirement Receipts:,null,null,null,9,4,4,40,S,RSG,2,1.3,2025,4,2025,3,07,31
2025-07-31,56656190,56656191,Employment and General Retirement,125845477746.99,1423936998382.58,1385958098584.76,9,5,5,50,D,RSG,3,1.3.1,2025,4,2025,3,07,31
2025-07-31,56656199,56656217,Net Interest,92011381125.19,840759988383.46,763200490778.15,9,31,31,320,D,F,2,2.18,2025,4,2025,3,07,31
2025-07-31,56656199,56656219,Undistributed Offsetting Receipts,-9525452723.35,-127898612813.42,-124911144208.50,9,32,32,330,D,F,2,2.19,2025,4,2025,3,07,31
2025-07-31,56656199,56656220,Total,629634508710.84,5975153096081.80,5601574789249.13,9,33,33,340,T,SL,2,2.20,2025,4,2025,3,07,31
2025-07-31,null,56656199,Net Outlays,null,null,null,9,13,13,130,S,SL,1,2,2025,4,2025,3,07,31
2025-07-31,56656199,56656213,Social Security,132746354141.82,1313765298087.98,1212635267914.48,9,27,27,270,D,F,2,2.14,2025,4,2025,3,07,31
2025-07-31,56656199,56656214,Veterans Benefits and Services,31733007111.35,309947626545.54,264496999349.33,9,28,28,280,D,F,2,2.15,2025,4,2025,3,07,31
2025-07-31,56656199,56656215,Administration of Justice,6396773162.90,68760758501.15,69475822698.28,9,29,29,290,D,F,2,2.16,2025,4,2025,3,07,31
2025-07-31,56656199,56656216,General Government,2615352444.76,27432407432.51,23735664458.08,9,30,30,300,D,F,2,2.17,2025,4,2025,3,07,31
2025-07-31,56656190,56656192,Unemployment Insurance,4504439012.08,49384731835.69,43921945308.68,9,6,6,60,D,RSG,3,1.3.2,2025,4,2025,3,07,31
2025-07-31,56656190,56656193,Other Retirement,672353784.79,6995814476.03,6433733973.77,9,7,7,70,D,RSG,3,1.3.3,2025,4,2025,3,07,31
2025-07-31,56656187,56656194,Excise Taxes,9574298911.41,84932758016.77,81210463501.13,9,8,8,80,D,RSG,2,1.4,2025,4,2025,3,07,31
2025-07-31,56656187,56656195,Estate and Gift Taxes,1751139946.34,24092505029.49,25918987762.94,9,9,9,90,D,RSG,2,1.5,2025,4,2025,3,07,31
2025-07-31,56656187,56656196,Customs Duties,27670054031.40,135687843801.04,62740698927.58,9,10,10,100,D,RSG,2,1.6,2025,4,2025,3,07,31
2025-07-31,56656187,56656197,Miscellaneous Receipts,2490952547.19,30012437982.07,26523652943.52,9,11,11,110,D,RSG,2,1.7,2025,4,2025,3,07,31
2025-07-31,56656187,56656198,Total,338491848423.17,4346638076843.89,4084576196741.85,9,12,12,120,T,SL,2,1.8,2025,4,2025,3,07,31
2025-07-31,56656199,56656200,National Defense,75543665445.82,757978234824.44,714610198381.90,9,14,14,140,D,F,2,2.1,2025,4,2025,3,07,31
2025-07-31,56656199,56656201,International Affairs,6246849835.69,51467613880.94,55361754233.37,9,15,15,150,D,F,2,2.2,2025,4,2025,3,07,31
2025-07-31,56656199,56656202,"General Science, Space, and Technology",3409377448.56,34218127954.95,34035816279.11,9,16,16,160,D,F,2,2.3,2025,4,2025,3,07,31
2025-07-31,56656199,56656203,Energy,1514620233.48,17483824876.16,10883744022.94,9,17,17,170,D,F,2,2.4,2025,4,2025,3,07,31
2025-07-31,56656199,56656204,Natural Resources and Environment,5840526628.76,75609761370.50,45410773229.86,9,18,18,180,D,F,2,2.5,2025,4,2025,3,07,31
2025-07-31,56656199,56656205,Agriculture,3494584549.07,45319382250.77,34975839298.58,9,19,19,190,D,F,2,2.6,2025,4,2025,3,07,31
2025-07-31,56656199,56656206,Commerce and Housing Credit,-18644018472.48,-24645776682.99,40633363643.28,9,20,20,200,D,F,2,2.7,2025,4,2025,3,07,31
2025-07-31,56656199,56656207,Transportation,13499544512.70,112199482665.24,105436478644.15,9,21,21,210,D,F,2,2.8,2025,4,2025,3,07,31
2025-07-31,56656199,56656208,Community and Regional Development,5330690166.22,71845012440.35,77956259418.41,9,22,22,220,D,F,2,2.9,2025,4,2025,3,07,31
2025-07-31,56656199,56656209,"Education, Training, Employment, and Social Services",33323643805.63,163660191300.20,242916054362.97,9,23,23,230,D,F,2,2.10,2025,4,2025,3,07,31
2025-07-31,56656199,56656210,Health,90000201973.09,805393977863.51,743429342833.34,9,24,24,240,D,F,2,2.11,2025,4,2025,3,07,31
2025-07-31,56656199,56656211,Medicare,100012925316.91,823387863322.33,721113207499.39,9,25,25,250,D,F,2,2.12,2025,4,2025,3,07,31
2025-07-31,56656199,56656212,Income Security,54084482004.72,608467933878.18,566178856412.01,9,26,26,260,D,F,2,2.13,2025,4,2025,3,07,31
2025-06-30,56449186,56449206,Undistributed Offsetting Receipts,-9352473435.18,-118373160090.07,-115102489966.99,9,32,32,330,D,F,2,2.19,2025,3,2025,2,06,30
2025-06-30,56449186,56449207,Total,499435329679.20,5345518215303.20,5027456273651.61,9,33,33,340,T,SL,2,2.20,2025,3,2025,2,06,30
2025-06-30,56449186,56449202,Administration of Justice,6487812410.22,62363985338.25,62600738458.34,9,29,29,290,D,F,2,2.16,2025,3,2025,2,06,30
2025-06-30,56449186,56449203,General Government,2716524043.28,24817060987.75,20198111274.34,9,30,30,300,D,F,2,2.17,2025,3,2025,2,06,30
2025-06-30,56449186,56449204,Net Interest,84344687963.81,748748607258.27,682391289492.22,9,31,31,320,D,F,2,2.18,2025,3,2025,2,06,30
2025-06-30,56449174,56449175,Individual Income Taxes,236167732428.22,2059338673178.20,1885757297184.23,9,2,2,20,D,RSG,2,1.1,2025,3,2025,2,06,30
2025-06-30,56449174,56449176,Corporation Income Taxes,68086435432.83,366273181699.05,392670029313.62,9,3,3,30,D,RSG,2,1.2,2025,3,2025,2,06,30
2025-06-30,56449174,56449177,Social Insurance and Retirement Receipts:,null,null,null,9,4,4,40,S,RSG,2,1.3,2025,3,2025,2,06,30
2025-06-30,56449177,56449178,Employment and General Retirement,176075293818.64,1298091520635.59,1263221593725.42,9,5,5,50,D,RSG,3,1.3.1,2025,3,2025,2,06,30
2025-06-30,null,56449174,Receipts,null,null,null,9,1,1,10,S,SL,1,1,2025,3,2025,2,06,30
2025-06-30,56449186,56449201,Veterans Benefits and Services,18260824976.84,278214619434.19,235748199402.90,9,28,28,280,D,F,2,2.15,2025,3,2025,2,06,30
2025-06-30,56449186,56449197,Health,80350205674.37,715393775890.42,670167361394.99,9,24,24,240,D,F,2,2.11,2025,3,2025,2,06,30
2025-06-30,56449186,56449198,Medicare,23855093076.55,723374938005.42,628874690625.75,9,25,25,250,D,F,2,2.12,2025,3,2025,2,06,30
2025-06-30,56449186,56449199,Income Security,37823253631.46,554383451873.46,507513787681.24,9,26,26,260,D,F,2,2.13,2025,3,2025,2,06,30
2025-06-30,56449186,56449200,Social Security,141236137565.77,1181018943946.16,1089393659672.32,9,27,27,270,D,F,2,2.14,2025,3,2025,2,06,30
2025-06-30,56449177,56449179,Unemployment Insurance,6417551111.17,44880292823.61,39515485560.43,9,6,6,60,D,RSG,3,1.3.2,2025,3,2025,2,06,30
2025-06-30,56449177,56449180,Other Retirement,666270876.08,6323460691.24,5800610454.91,9,7,7,70,D,RSG,3,1.3.3,2025,3,2025,2,06,30
2025-06-30,56449186,56449194,Transportation,10965636429.81,98699938152.54,93922044870.44,9,21,21,210,D,F,2,2.8,2025,3,2025,2,06,30
2025-06-30,56449186,56449195,Community and Regional Development,6998715187.23,66514322274.13,73184229536.59,9,22,22,220,D,F,2,2.9,2025,3,2025,2,06,30
2025-06-30,56449186,56449196,"Education, Training, Employment, and Social Services",10811642987.39,130336547494.57,230596093723.73,9,23,23,230,D,F,2,2.10,2025,3,2025,2,06,30
2025-06-30,56449174,56449181,Excise Taxes,7596002852.14,75358459105.36,64246440258.89,9,8,8,80,D,RSG,2,1.4,2025,3,2025,2,06,30
2025-06-30,56449174,56449182,Estate and Gift Taxes,2486087159.87,22341365083.15,24544726891.82,9,9,9,90,D,RSG,2,1.5,2025,3,2025,2,06,30
2025-06-30,56449174,56449183,Customs Duties,26631664231.77,108017789769.64,55607210736.87,9,10,10,100,D,RSG,2,1.6,2025,3,2025,2,06,30
2025-06-30,56449174,56449184,Miscellaneous Receipts,2318313846.25,27521485434.88,22835374315.57,9,11,11,110,D,RSG,2,1.7,2025,3,2025,2,06,30
2025-06-30,56449174,56449185,Total,526445351756.97,4008146228420.72,3754198768441.76,9,12,12,120,T,SL,2,1.8,2025,3,2025,2,06,30
2025-06-30,null,56449186,Net Outlays,null,null,null,9,13,13,130,S,SL,1,2,2025,3,2025,2,06,30
2025-06-30,56449186,56449187,National Defense,69517290520.72,682434569378.62,643538361186.41,9,14,14,140,D,F,2,2.1,2025,3,2025,2,06,30
2025-06-30,56449186,56449188,International Affairs,6229082020.61,45220764045.25,47081929170.08,9,15,15,150,D,F,2,2.2,2025,3,2025,2,06,30
2025-06-30,56449186,56449189,"General Science, Space, and Technology",3444315812.70,30808750506.39,30424110920.52,9,16,16,160,D,F,2,2.3,2025,3,2025,2,06,30
2025-06-30,56449186,56449190,Energy,1790080610.59,15969204642.68,11287462323.88,9,17,17,170,D,F,2,2.4,2025,3,2025,2,06,30
2025-06-30,56449186,56449191,Natural Resources and Environment,4792555399.16,69768856673.98,40649994543.85,9,18,18,180,D,F,2,2.5,2025,3,2025,2,06,30
2025-06-30,56449186,56449192,Agriculture,3060627917.21,41824797701.70,31157458087.00,9,19,19,190,D,F,2,2.6,2025,3,2025,2,06,30
2025-06-30,56449186,56449193,Commerce and Housing Credit,-3896683113.34,-6001758210.51,43829241254.00,9,20,20,200,D,F,2,2.7,2025,3,2025,2,06,30
2025-05-31,56244513,56244515,Corporation Income Taxes,42955225755.90,298186746266.22,311316117983.36,9,3,3,30,D,RSG,2,1.2,2025,3,2025,2,05,31
2025-05-31,56244513,56244516,Social Insurance and Retirement Receipts:,null,null,null,9,4,4,40,S,RSG,2,1.3,2025,3,2025,2,05,31
2025-05-31,null,56244513,Receipts,null,null,null,9,1,1,10,S,SL,1,1,2025,3,2025,2,05,31
2025-05-31,56244513,56244514,Individual Income Taxes,142325462963.74,1823170940749.98,1700846925191.02,9,2,2,20,D,RSG,2,1.1,2025,3,2025,2,05,31
2025-05-31,56244525,56244542,General Government,1795628058.98,22158370137.22,18661568899.29,9,30,30,300,D,F,2,2.17,2025,3,2025,2,05,31
2025-05-31,null,56244525,Net Outlays,null,null,null,9,13,13,130,S,SL,1,2,2025,3,2025,2,05,31
2025-05-31,56244525,56244536,Health,80324426672.27,635043570216.05,594841297490.89,9,24,24,240,D,F,2,2.11,2025,3,2025,2,05,31
2025-05-31,56244525,56244537,Medicare,149036321339.21,699519844928.87,607160357979.16,9,25,25,250,D,F,2,2.12,2025,3,2025,2,05,31
2025-05-31,56244525,56244538,Income Security,68482770861.59,516556647253.38,475328907489.40,9,26,26,260,D,F,2,2.13,2025,3,2025,2,05,31
2025-05-31,56244525,56244539,Social Security,132431263411.74,1039782806380.39,960117160943.51,9,27,27,270,D,F,2,2.14,2025,3,2025,2,05,31
2025-05-31,56244525,56244540,Veterans Benefits and Services,46547667770.67,259953794457.35,221635347086.48,9,28,28,280,D,F,2,2.15,2025,3,2025,2,05,31
2025-05-31,56244525,56244541,Administration of Justice,6281288586.11,55876172961.03,56138416721.89,9,29,29,290,D,F,2,2.16,2025,3,2025,2,05,31
2025-05-31,56244525,56244543,Net Interest,86014743632.57,664705635377.86,601256725666.10,9,31,31,320,D,F,2,2.18,2025,3,2025,2,05,31
2025-05-31,56244525,56244545,Undistributed Offsetting Receipts,-9244464085.08,-109020686654.89,-106354341761.39,9,32,32,330,D,F,2,2.19,2025,3,2025,2,05,31
2025-05-31,56244525,56244546,Total,687232618300.20,4846434905431.53,4490236062768.11,9,33,33,340,T,SL,2,2.20,2025,3,2025,2,05,31
2025-05-31,56244525,56244529,Energy,1824065670.98,14179124032.09,9580334980.47,9,17,17,170,D,F,2,2.4,2025,3,2025,2,05,31
2025-05-31,56244525,56244530,Natural Resources and Environment,5599567827.36,64972310660.82,35797903843.73,9,18,18,180,D,F,2,2.5,2025,3,2025,2,05,31
2025-05-31,56244525,56244531,Agriculture,2064900157.66,38764169784.49,29303324409.39,9,19,19,190,D,F,2,2.6,2025,3,2025,2,05,31
2025-05-31,56244525,56244526,National Defense,76616611010.75,612917290991.90,576065728577.72,9,14,14,140,D,F,2,2.1,2025,3,2025,2,05,31
2025-05-31,56244525,56244527,International Affairs,6575681926.58,38991681991.64,42370465803.37,9,15,15,150,D,F,2,2.2,2025,3,2025,2,05,31
2025-05-31,56244525,56244528,"General Science, Space, and Technology",3437073782.85,27364434693.69,26790898345.17,9,16,16,160,D,F,2,2.3,2025,3,2025,2,05,31
2025-05-31,56244525,56244532,Commerce and Housing Credit,1667911183.80,-2105075097.17,49361300000.09,9,20,20,200,D,F,2,2.7,2025,3,2025,2,05,31
2025-05-31,56244525,56244533,Transportation,10840785370.19,87734301722.73,81616974077.79,9,21,21,210,D,F,2,2.8,2025,3,2025,2,05,31
2025-05-31,56244525,56244534,Community and Regional Development,7090506230.17,59515607086.90,69520203447.00,9,22,22,220,D,F,2,2.9,2025,3,2025,2,05,31
2025-05-31,56244516,56244517,Employment and General Retirement,133708846926.88,1122016226816.95,1082880118531.50,9,5,5,50,D,RSG,3,1.3.1,2025,3,2025,2,05,31
2025-05-31,56244516,56244518,Unemployment Insurance,13598264735.62,38462741712.44,38989258761.25,9,6,6,60,D,RSG,3,1.3.2,2025,3,2025,2,05,31
2025-05-31,56244516,56244519,Other Retirement,694562637.14,5657189815.16,5175967565.31,9,7,7,70,D,RSG,3,1.3.3,2025,3,2025,2,05,31
2025-05-31,56244513,56244520,Excise Taxes,8357407850.37,67762456253.22,57149365218.73,9,8,8,80,D,RSG,2,1.4,2025,3,2025,2,05,31
2025-05-31,56244513,56244521,Estate and Gift Taxes,3230578167.43,19855277923.28,22555870451.68,9,9,9,90,D,RSG,2,1.5,2025,3,2025,2,05,31
2025-05-31,56244513,56244522,Customs Duties,22172564539.21,81386125537.87,49283866068.01,9,10,10,100,D,RSG,2,1.6,2025,3,2025,2,05,31
2025-05-31,56244513,56244523,Miscellaneous Receipts,4185943534.47,25203171588.63,19746360263.74,9,11,11,110,D,RSG,2,1.7,2025,3,2025,2,05,31
2025-05-31,56244513,56244524,Total,371228857110.76,3481700876663.75,3287943850034.60,9,12,12,120,T,SL,2,1.8,2025,3,2025,2,05,31
2025-05-31,56244525,56244535,"Education, Training, Employment, and Social Services",9845868891.80,119524904507.18,141043488768.05,9,23,23,230,D,F,2,2.10,2025,3,2025,2,05,31
2025-04-30,56012511,56012531,Undistributed Offsetting Receipts,-9473359108.30,-99776222569.81,-96650191474.21,9,32,32,330,D,F,2,2.19,2025,3,2025,2,04,30
2025-04-30,56012511,56012532,Total,591769368657.85,4159202287131.33,3819458182098.06,9,33,33,340,T,SL,2,2.20,2025,3,2025,2,04,30
2025-04-30,null,56012511,Net Outlays,null,null,null,9,13,13,130,S,SL,1,2,2025,3,2025,2,04,30
2025-04-30,56012511,56012523,Medicare,81860168813.15,550483523589.66,464880453675.38,9,25,25,250,D,F,2,2.12,2025,3,2025,2,04,30
2025-04-30,56012511,56012524,Income Security,64798180413.11,448073876391.79,415054290372.52,9,26,26,260,D,F,2,2.13,2025,3,2025,2,04,30
2025-04-30,56012511,56012525,Social Security,132094171260.15,907351542968.65,837315231495.15,9,27,27,270,D,F,2,2.14,2025,3,2025,2,04,30
2025-04-30,56012511,56012526,Veterans Benefits and Services,28012230034.69,213406126686.68,183219403258.23,9,28,28,280,D,F,2,2.15,2025,3,2025,2,04,30
2025-04-30,56012511,56012527,Administration of Justice,6633556766.83,49594884374.92,49582777994.44,9,29,29,290,D,F,2,2.16,2025,3,2025,2,04,30
2025-04-30,56012511,56012528,General Government,3196061414.07,20362742078.24,12420299403.04,9,30,30,300,D,F,2,2.17,2025,3,2025,2,04,30
2025-04-30,56012511,56012529,Net Interest,89375657827.90,578690891745.29,514160708439.81,9,31,31,320,D,F,2,2.18,2025,3,2025,2,04,30
2025-04-30,56012511,56012519,Transportation,10635767629.25,76893516352.54,69792608880.33,9,21,21,210,D,F,2,2.8,2025,3,2025,2,04,30
2025-04-30,56012511,56012520,Community and Regional Development,8502147691.78,52425100856.73,31459402048.32,9,22,22,220,D,F,2,2.9,2025,3,2025,2,04,30
2025-04-30,56012511,56012521,"Education, Training, Employment, and Social Services",10421884957.64,109679035615.38,128049146115.82,9,23,23,230,D,F,2,2.10,2025,3,2025,2,04,30
2025-04-30,56012511,56012522,Health,76330710479.43,554719143543.78,518127398460.60,9,24,24,240,D,F,2,2.11,2025,3,2025,2,04,30
