Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57119205,57119291,Department of Veterans Affairs:,null,null,null,null,null,null,6d,69,69,8343,S,C,2,2.12,2025,4,2025,3,09,30
2025-09-30,57119291,57119295,"General Post Fund, National Homes",null,27272267.18,-20293391.76,119945154.88,147217422.06,147217422.06,6d,70,70,8345,D,P,3,2.12.1,2025,4,2025,3,09,30
2025-09-30,57119291,57119299,National Service Life Insurance,-19346000.00,-183715000.00,-246243000.00,586045000.00,421676000.00,402330000.00,6d,71,71,8346,D,P,3,2.12.2,2025,4,2025,3,09,30
2025-09-30,57119291,57119301,United States Government Life Insurance Fund,-80000.00,-88000.00,-30000.00,1292000.00,1284000.00,1204000.00,6d,72,72,8347,D,P,3,2.12.3,2025,4,2025,3,09,30
2025-09-30,57119291,57119305,Veterans Special Life Insurance Fund,-13216000.00,-120349000.00,-141830000.00,663017000.00,555884000.00,542668000.00,6d,73,73,8348,D,P,3,2.12.4,2025,4,2025,3,09,30
2025-09-30,57119326,57119336,Employees Life Insurance Fund,53936727.00,2941244901.82,2508782687.58,55035206984.70,57922515159.52,57976451886.52,6d,83,83,8368,D,P,3,2.17.2,2025,4,2025,3,09,30
2025-09-30,57119326,57119338,Employees and Retired Employees Health Benefits Fund,-417303889.15,-428377990.13,-1802189832.83,23768054213.45,23756980112.47,23339676223.32,6d,84,84,8369,D,P,3,2.17.3,2025,4,2025,3,09,30
2025-09-30,57119205,57119340,Social Security Administration:,null,null,null,null,null,null,6d,85,85,8372,S,C,2,2.18,2025,4,2025,3,09,30
2025-09-30,57119340,57119342,Federal Old-Age and Survivors Insurance Trust Fund,-32051803000.00,-181397304000.00,-91544335000.00,2582205113000.00,2432859612000.00,2400807809000.00,6d,86,86,8374,D,P,3,2.18.1,2025,4,2025,3,09,30
2025-09-30,57119340,57119344,Federal Disability Insurance Trust Fund,1640973000.00,37577311000.00,34868877000.00,177774550000.00,213710888000.00,215351861000.00,6d,87,87,8375,D,P,3,2.18.2,2025,4,2025,3,09,30
2025-09-30,57119346,57119360,Japan-United States Friendship Commission,null,null,-1000000.00,34725735.47,34725735.47,34725735.47,6d,90,90,8395,D,A,3,2.19.2,2025,4,2025,3,09,30
2025-09-30,57119346,57119366,Railroad Retirement Board,null,null,null,null,null,null,6d,91,91,8425,S,A,3,2.19.3,2025,4,2025,3,09,30
2025-09-30,57119366,57119368,Treasury Securities,110126300.00,639989200.00,265232600.00,2875819100.00,3405682000.00,3515808300.00,6d,92,92,14282,D,SL,4,2.19.3.1,2025,4,2025,3,09,30
2025-09-30,57119366,57119370,Agency Securities,2455000.00,4198000.00,2109000.00,3319000.00,5062000.00,7517000.00,6d,93,93,14283,D,SL,4,2.19.3.2,2025,4,2025,3,09,30
2025-09-30,57119346,57119374,Other,null,null,null,null,null,null,6d,94,94,8432,S,A,3,2.19.4,2025,4,2025,3,09,30
2025-09-30,57119374,57119376,Treasury Securities,-40301331.33,-271742183.38,237914966.96,2129302501.20,1897861649.15,1857560317.82,6d,95,95,14247,D,SL,4,2.19.4.1,2025,4,2025,3,09,30
2025-09-30,57119205,57119382,Total Treasury Securities ,55389687649.65,84998760114.97,247204576995.68,6189784483708.44,6219393556173.76,6274783243823.41,6d,96,96,8434,T,SL,2,2.20,2025,4,2025,3,09,30
2025-09-30,57119205,57119386,Total Agency Securities,2455000.00,4198000.00,2109000.00,3319000.00,5062000.00,7517000.00,6d,97,97,8435,T,SL,2,2.21,2025,4,2025,3,09,30
2025-09-30,57119205,57119389,Total Trust Funds,55392142649.65,85002958114.97,247206685995.68,6189787802708.44,6219398618173.76,6274790760823.41,6d,98,98,8436,T,FT,2,2.22,2025,4,2025,3,09,30
2025-09-30,null,57119391,Grand Total,55798502480.25,200311917314.44,321124171252.62,7138959339552.30,7283472754386.49,7339271256866.74,6d,99,99,8437,T,SL,1,3,2025,4,2025,3,09,30
2025-09-30,57119346,57119358,Harry S Truman Scholarship Foundation,null,21027321.87,24628968.55,34581322.67,55608644.54,55608644.54,6d,89,89,8394,D,A,3,2.19.1,2025,4,2025,3,09,30
2025-09-30,57118917,57118976,Department of Housing and Urban Development:,null,null,null,null,null,null,6d,9,9,8014,S,C,2,1.7,2025,4,2025,3,09,30
2025-09-30,57118946,57118952,Defense Cooperation Account,335585.77,335585.77,374148.15,9170673.20,9170673.20,9506258.97,6d,5,5,8004,D,P,3,1.3.1,2025,4,2025,3,09,30
2025-09-30,57118917,57118958,Department of Energy,-73944300.25,9731757215.03,7196939133.12,70364482375.95,80170183891.23,80096239590.98,6d,6,6,8005,D,C,2,1.4,2025,4,2025,3,09,30
2025-09-30,57118917,57118961,Department of Health and Human Services,-18050936320.31,null,null,null,18050936320.31,null,6d,7,7,8008,D,C,2,1.5,2025,4,2025,3,09,30
2025-09-30,57118917,57118973,Department of Homeland Security,null,-4948345457.72,1557555046.87,4948345457.72,null,null,6d,8,8,8010,D,C,2,1.6,2025,4,2025,3,09,30
2025-09-30,57119208,57119218,Other,-441670.71,1066497.85,1678165.62,33523282.20,35031450.76,34589780.05,6d,47,47,8105,D,P,3,2.1.3,2025,4,2025,3,09,30
2025-09-30,57119205,57119222,Judicial Branch:,null,null,null,null,null,null,6d,48,48,8107,S,C,2,2.2,2025,4,2025,3,09,30
2025-09-30,57119222,57119225,Judicial Retirement Funds,-2990672.79,204815584.30,176734895.89,2168685749.55,2376492006.64,2373501333.85,6d,49,49,8108,D,P,3,2.2.1,2025,4,2025,3,09,30
2025-09-30,57119205,57119227,Department of Agriculture,null,1075737.75,-77224.64,5606835.19,6682572.94,6682572.94,6d,50,50,8111,D,C,2,2.3,2025,4,2025,3,09,30
2025-09-30,57119205,57119231,Department of Defense--Military Programs:,null,null,null,null,null,null,6d,51,51,8119,S,C,2,2.4,2025,4,2025,3,09,30
2025-09-30,57119231,57119233,Voluntary Separation Incentive Fund,-3173886.56,-4734231.83,-6427094.95,35141449.52,33581104.25,30407217.69,6d,52,52,8120,D,P,3,2.4.1,2025,4,2025,3,09,30
2025-09-30,57119231,57119237,Other,-110704920.98,-483455373.09,-225729506.44,1181491421.71,808740969.60,698036048.62,6d,53,53,8121,D,P,3,2.4.2,2025,4,2025,3,09,30
2025-09-30,57119205,57119241,Department of Health and Human Services:,null,null,null,null,null,null,6d,54,54,8129,S,C,2,2.5,2025,4,2025,3,09,30
2025-09-30,57119241,57119247,Other,19120968394.79,17851779883.98,40784486996.90,239599939191.21,238330750680.40,257451719075.19,6d,56,56,8171,D,P,3,2.5.2,2025,4,2025,3,09,30
2025-09-30,57119205,57119249,Department of Homeland Security,65769198.31,644672822.13,853118407.09,12480419231.63,13059322855.45,13125092053.76,6d,57,57,8200,D,C,2,2.6,2025,4,2025,3,09,30
2025-09-30,57119205,57119264,Department of the Interior,-2174170.48,142742501.79,439123865.69,743214609.55,888131281.82,885957111.34,6d,58,58,8301,D,C,2,2.7,2025,4,2025,3,09,30
2025-09-30,57119208,57119215,United States Tax Court,-37122.90,129837.39,571927.13,13958691.21,14125651.50,14088528.60,6d,46,46,8104,D,B,3,2.1.2,2025,4,2025,3,09,30
2025-09-30,57118917,57118996,Department of the Interior,-420389114.18,1145455168.78,1904457133.73,31072243557.90,32638087840.86,32217698726.68,6d,14,14,8035,D,C,2,1.8,2025,4,2025,3,09,30
2025-09-30,57118917,57118999,Department of Justice,2965149219.17,-373293897.34,184096758.29,3475480610.37,137037493.86,3102186713.03,6d,15,15,14020,D,C,2,1.9,2025,4,2025,3,09,30
2025-09-30,57118917,57119002,Department of Labor,6436854773.08,10166068953.98,2191961740.67,63366143252.16,67095357433.06,73532212206.14,6d,16,16,8037,D,C,2,1.10,2025,4,2025,3,09,30
2025-09-30,57118917,57119011,Department of State:,null,null,null,null,null,null,6d,17,17,12217,S,C,2,1.11,2025,4,2025,3,09,30
2025-09-30,57119011,57119014,Foreign Service Retirement and Disability Fund,-75079141.22,-55742493.74,45832913.30,411630853.34,430967500.82,355888359.60,6d,18,18,13865,D,P,3,1.11.1,2025,4,2025,3,09,30
2025-09-30,57119011,57119017,Other,null,807966.93,6970743.30,19918583.03,20726549.96,20726549.96,6d,19,19,12220,D,P,3,1.11.2,2025,4,2025,3,09,30
2025-09-30,57118976,57118979,Housing Programs:,null,null,null,null,null,null,6d,10,10,8016,S,B,3,1.7.1,2025,4,2025,3,09,30
2025-09-30,57118979,57118982,Federal Housing Administration Fund,1097641621.97,29105712817.75,22836142874.81,155941059692.65,183949130888.43,185046772510.40,6d,11,11,8018,D,P,4,1.7.1.1,2025,4,2025,3,09,30
2025-09-30,57118976,57118986,Government National Mortgage Association:,null,null,null,null,null,null,6d,12,12,8020,S,B,3,1.7.2,2025,4,2025,3,09,30
2025-09-30,57118986,57118990,Guarantees of Mortgage-Backed Securities,2608587000.00,6330531000.00,2031247000.00,23185488000.00,26907432000.00,29516019000.00,6d,13,13,8024,D,P,4,1.7.2.1,2025,4,2025,3,09,30
2025-09-30,null,57119205,Trust Funds:,null,null,null,null,null,null,6d,43,43,8080,S,FT,1,2,2025,4,2025,3,09,30
2025-09-30,57119309,57119313,Military Retirement Fund,4931405496.82,207778222081.43,232295712794.64,1599140907736.18,1801987724320.79,1806919129817.61,6d,76,76,8354,D,P,3,2.14.1,2025,4,2025,3,09,30
2025-09-30,57119309,57119315,Other,2575999.71,-46761771.21,-94635215.57,937414967.23,888077196.31,890653196.02,6d,77,77,8356,D,P,3,2.14.2,2025,4,2025,3,09,30
2025-09-30,57119205,57119318,Environmental Protection Agency,105801193.46,148888604.87,728115073.26,13166438627.08,13209526038.49,13315327231.95,6d,78,78,8358,D,C,2,2.15,2025,4,2025,3,09,30
2025-09-30,57119205,57119324,National Aeronautics and Space Administration,-240563.08,-27802.78,171561.56,15660719.88,15873480.18,15632917.10,6d,79,79,8360,D,C,2,2.16,2025,4,2025,3,09,30
2025-09-30,57119205,57119326,Office of Personnel Management:,null,null,null,null,null,null,6d,80,80,8361,S,C,2,2.17,2025,4,2025,3,09,30
2025-09-30,57119326,57119330,Civil Service Retirement and Disability Fund,null,null,null,null,null,null,6d,81,81,8364,S,P,3,2.17.1,2025,4,2025,3,09,30
2025-09-30,57119330,57119332,Treasury Securities,48289972000.00,33968598000.00,35712448000.00,1072348519000.00,1058027145000.00,1106317117000.00,6d,82,82,8365,D,SL,4,2.17.1.1,2025,4,2025,3,09,30
2025-09-30,57119205,57119346,Independent Agencies:,null,null,null,null,null,null,6d,88,88,8380,S,C,2,2.19,2025,4,2025,3,09,30
2025-09-30,57119274,57119276,Foreign Service Retirement and Disability Fund,504987000.00,695704000.00,526291000.00,21581110000.00,21771827000.00,22276814000.00,6d,63,63,8331,D,P,3,2.9.1,2025,4,2025,3,09,30
2025-09-30,57119274,57119278,Other,-491527.43,-2491527.43,-432588.50,48715397.59,46715397.59,46223870.16,6d,64,64,8334,D,P,3,2.9.2,2025,4,2025,3,09,30
2025-09-30,57119280,57119282,Airport and Airway Trust Fund,1562856000.00,1894460000.00,76197000.00,16676985000.00,17008589000.00,18571445000.00,6d,66,66,8336,D,P,3,2.10.1,2025,4,2025,3,09,30
2025-09-30,57119280,57119287,Highway Trust Fund,-7354528249.97,-27607785043.54,-19124107425.13,96549198532.89,76295941739.32,68941413489.35,6d,67,67,8337,D,P,3,2.10.2,2025,4,2025,3,09,30
2025-09-30,57119205,57119289,Department of the Treasury,271165984.77,49756545.21,67567470.01,4718529977.82,4497120538.26,4768286523.03,6d,68,68,8341,D,C,2,2.11,2025,4,2025,3,09,30
2025-09-30,57119205,57119307,Corps of Engineers,-542980188.55,161172810.26,-228602144.79,10526521960.37,11230674959.18,10687694770.63,6d,74,74,8350,D,C,2,2.13,2025,4,2025,3,09,30
2025-09-30,57119205,57119309,Other Defense Civil Programs:,null,null,null,null,null,null,6d,75,75,8353,S,C,2,2.14,2025,4,2025,3,09,30
2025-09-30,57119268,57119270,Unemployment Trust Fund,-9492055000.00,1364339000.00,6184430000.00,88030113000.00,98886507000.00,89394452000.00,6d,60,60,8311,D,P,3,2.8.1,2025,4,2025,3,09,30
2025-09-30,57119268,57119272,Other,2929400.00,-3520800.00,4708400.00,76708400.00,70258200.00,73187600.00,6d,61,61,8321,D,P,3,2.8.2,2025,4,2025,3,09,30
2025-09-30,57118917,57119037,Department of Veterans Affairs:,null,null,null,null,null,null,6d,22,22,8041,S,C,2,1.14,2025,4,2025,3,09,30
2025-09-30,57119208,57119212,Library of Congress,-1409851.28,3165240.53,8702639.41,65809915.26,70385007.07,68975155.79,6d,45,45,8103,D,B,3,2.1.1,2025,4,2025,3,09,30
2025-09-30,57119205,57119268,Department of Labor:,null,null,null,null,null,null,6d,59,59,8308,S,C,2,2.8,2025,4,2025,3,09,30
2025-09-30,57119037,57119055,Servicemen'S Group Life Insurance Fund,null,536237000.00,526020000.00,4224829000.00,4761066000.00,4761066000.00,6d,25,25,8046,D,P,3,1.14.3,2025,4,2025,3,09,30
2025-09-30,57118917,57119065,Other Defense Civil Programs:,null,null,null,null,null,null,6d,26,26,8047,S,C,2,1.15,2025,4,2025,3,09,30
2025-09-30,57119065,57119068,Uniformed Services Retiree Health Care Fund,-312719152.71,30195403258.01,32558898717.60,386777620054.45,417285742465.17,416973023312.46,6d,27,27,8048,D,P,3,1.15.1,2025,4,2025,3,09,30
2025-09-30,57118917,57119083,International Assistance Programs,-95598046.28,314254540.20,384400403.31,6752883451.13,7162736037.61,7067137991.33,6d,28,28,14572,D,C,2,1.16,2025,4,2025,3,09,30
2025-09-30,57118917,57119089,Office of Personnel Management:,null,null,null,null,null,null,6d,29,29,8049,S,C,2,1.17,2025,4,2025,3,09,30
2025-09-30,57119089,57119092,Postal Service Contributions,-396783000.00,-4129517000.00,-3853113000.00,28196835000.00,24464101000.00,24067318000.00,6d,30,30,8050,D,P,3,1.17.1,2025,4,2025,3,09,30
2025-09-30,57118917,57119126,Independent Agencies:,null,null,null,null,null,null,6d,31,31,8051,S,C,2,1.18,2025,4,2025,3,09,30
2025-09-30,57119132,57119138,FSLIC Resolution Fund,3817000.00,44492000.00,52263000.00,983039000.00,1023714000.00,1027531000.00,6d,34,34,8055,D,P,4,1.18.1.2,2025,4,2025,3,09,30
2025-09-30,57119126,57119142,Federal Housing Finance Agency,48445218.21,125021650.10,43187614.28,177795275.75,254371707.64,302816925.85,6d,35,35,8057,D,A,3,1.18.2,2025,4,2025,3,09,30
2025-09-30,57118917,57119020,Department of Transportation,20960959.59,119851037.76,76919650.01,2586382552.13,2685272630.30,2706233589.89,6d,20,20,8039,D,C,2,1.12,2025,4,2025,3,09,30
2025-09-30,57118917,57119034,Department of the Treasury,533010932.49,9053844584.02,1608011095.07,18773678671.30,27294512322.83,27827523255.32,6d,21,21,8040,D,C,2,1.13,2025,4,2025,3,09,30
2025-09-30,57119037,57119046,Veterans Reopened Insurance Fund,-913000.00,-5685000.00,-7548000.00,24950000.00,20178000.00,19265000.00,6d,23,23,8045,D,P,3,1.14.1,2025,4,2025,3,09,30
2025-09-30,57119037,57119049,National Service Life Insurance,-3328000.00,88339000.00,45666000.00,63973000.00,155640000.00,152312000.00,6d,24,24,12235,D,P,3,1.14.2,2025,4,2025,3,09,30
2025-09-30,57118917,57119192,Total Treasury Securities ,406359830.60,115308959199.47,73917485256.94,949171536843.86,1064074136212.73,1064480496043.33,6d,41,41,8071,T,SL,2,1.20,2025,4,2025,3,09,30
2025-09-30,57118917,57119202,Total Federal Funds,406359830.60,115308959199.47,73917485256.94,949171536843.86,1064074136212.73,1064480496043.33,6d,42,42,8073,T,FT,2,1.21,2025,4,2025,3,09,30
2025-09-30,57119205,57119208,Legislative Branch:,null,null,null,null,null,null,6d,44,44,8100,S,C,2,2.1,2025,4,2025,3,09,30
2025-09-30,57119126,57119151,National Credit Union Administration,-757581.80,1425265040.10,1323146415.05,23886419213.06,25312441834.96,25311684253.16,6d,36,36,8059,D,A,3,1.18.3,2025,4,2025,3,09,30
2025-09-30,57119126,57119154,Postal Service,-2303993138.26,-5739031771.62,-2585098081.72,19446957816.63,16011919183.27,13707926045.01,6d,37,37,8060,D,A,3,1.18.4,2025,4,2025,3,09,30
2025-09-30,57119174,57119178,Treasury Securities,629526225.39,656601137.58,1167165295.10,13288516241.11,13315591153.30,13945117378.69,6d,39,39,14242,D,SL,4,1.18.5.1,2025,4,2025,3,09,30
2025-09-30,57118917,57119189,Other,-2969395348.64,-105055621.07,-141433174.52,1858950203.38,4723289930.95,1753894582.31,6d,40,40,8070,D,C,2,1.19,2025,4,2025,3,09,30
2025-08-31,56826396,56826399,Government National Mortgage Association:,null,null,null,null,null,null,6d,12,12,8020,S,B,3,1.7.2,2025,4,2025,3,08,31
2025-08-31,56826377,56826403,Department of Justice,-2752982754.40,-3338443116.51,169246219.25,3475480610.37,2890020248.26,137037493.86,6d,15,15,14020,D,C,2,1.9,2025,4,2025,3,08,31
2025-08-31,56826415,56826418,Veterans Reopened Insurance Fund,-485000.00,-4772000.00,-7006000.00,24950000.00,20663000.00,20178000.00,6d,23,23,8045,D,P,3,1.14.1,2025,4,2025,3,08,31
2025-08-31,56826377,56826432,Office of Personnel Management:,null,null,null,null,null,null,6d,29,29,8049,S,C,2,1.17,2025,4,2025,3,08,31
2025-08-31,null,56826463,Trust Funds:,null,null,null,null,null,null,6d,43,43,8080,S,FT,1,2,2025,4,2025,3,08,31
2025-08-31,56826463,56826546,Total Treasury Securities ,-99856365761.13,29609072465.32,162555837086.69,6189784483708.44,6319249921934.89,6219393556173.76,6d,96,96,8434,T,SL,2,2.20,2025,4,2025,3,08,31
2025-08-31,56826463,56826547,Total Agency Securities,null,1743000.00,null,3319000.00,5062000.00,5062000.00,6d,97,97,8435,T,SL,2,2.21,2025,4,2025,3,08,31
2025-08-31,56826463,56826548,Total Trust Funds,-99856365761.13,29610815465.32,162555837086.69,6189787802708.44,6319254983934.89,6219398618173.76,6d,98,98,8436,T,FT,2,2.22,2025,4,2025,3,08,31
2025-08-31,null,56826549,Grand Total,-79319239590.62,144513414834.19,249299856729.03,7138959339552.30,7362791993977.11,7283472754386.49,6d,99,99,8437,T,SL,1,3,2025,4,2025,3,08,31
2025-08-31,56826472,56826475,Other,8091912.06,-372750452.11,-176478475.62,1181491421.71,800649057.54,808740969.60,6d,53,53,8121,D,P,3,2.4.2,2025,4,2025,3,08,31
2025-08-31,56826490,56826491,Unemployment Trust Fund,2916127000.00,10856394000.00,12956673000.00,88030113000.00,95970380000.00,98886507000.00,6d,60,60,8311,D,P,3,2.8.1,2025,4,2025,3,08,31
2025-08-31,56826490,56826492,Other,17328000.00,-6450200.00,-8064700.00,76708400.00,52930200.00,70258200.00,6d,61,61,8321,D,P,3,2.8.2,2025,4,2025,3,08,31
2025-08-31,56826463,56826493,Department of State:,null,null,null,null,null,null,6d,62,62,8322,S,C,2,2.9,2025,4,2025,3,08,31
2025-08-31,56826493,56826494,Foreign Service Retirement and Disability Fund,-65788000.00,190717000.00,132891000.00,21581110000.00,21837615000.00,21771827000.00,6d,63,63,8331,D,P,3,2.9.1,2025,4,2025,3,08,31
2025-08-31,56826463,56826501,Department of Veterans Affairs:,null,null,null,null,null,null,6d,69,69,8343,S,C,2,2.12,2025,4,2025,3,08,31
2025-08-31,56826528,56826542,Other,null,null,null,null,null,null,6d,94,94,8432,S,A,3,2.19.4,2025,4,2025,3,08,31
2025-08-31,56826542,56826543,Treasury Securities,104573425.72,-231440852.05,341447035.10,2129302501.20,1793288223.43,1897861649.15,6d,95,95,14247,D,SL,4,2.19.4.1,2025,4,2025,3,08,31
2025-08-31,null,56826377,Federal Funds:,null,null,null,null,null,null,6d,1,1,8000,S,FT,1,1,2025,4,2025,3,08,31
2025-08-31,56826463,56826500,Department of the Treasury,-94453233.48,-221409439.56,-336229204.89,4718529977.82,4591573771.74,4497120538.26,6d,68,68,8341,D,C,2,2.11,2025,4,2025,3,08,31
2025-08-31,56826501,56826503,"General Post Fund, National Homes",null,27272267.18,-20293391.76,119945154.88,147217422.06,147217422.06,6d,70,70,8345,D,P,3,2.12.1,2025,4,2025,3,08,31
2025-08-31,56826501,56826505,National Service Life Insurance,-12362000.00,-164369000.00,-225017000.00,586045000.00,434038000.00,421676000.00,6d,71,71,8346,D,P,3,2.12.2,2025,4,2025,3,08,31
2025-08-31,56826501,56826506,United States Government Life Insurance Fund,-3000.00,-8000.00,-26000.00,1292000.00,1287000.00,1284000.00,6d,72,72,8347,D,P,3,2.12.3,2025,4,2025,3,08,31
2025-08-31,56826518,56826524,Employees and Retired Employees Health Benefits Fund,-172953238.11,-11074100.98,-1801764236.97,23768054213.45,23929933350.58,23756980112.47,6d,84,84,8369,D,P,3,2.17.3,2025,4,2025,3,08,31
2025-08-31,56826463,56826525,Social Security Administration:,null,null,null,null,null,null,6d,85,85,8372,S,C,2,2.18,2025,4,2025,3,08,31
2025-08-31,56826525,56826526,Federal Old-Age and Survivors Insurance Trust Fund,-33317445000.00,-149345501000.00,-73425061000.00,2582205113000.00,2466177057000.00,2432859612000.00,6d,86,86,8374,D,P,3,2.18.1,2025,4,2025,3,08,31
2025-08-31,56826525,56826527,Federal Disability Insurance Trust Fund,1219589000.00,35936338000.00,32273036000.00,177774550000.00,212491299000.00,213710888000.00,6d,87,87,8375,D,P,3,2.18.2,2025,4,2025,3,08,31
2025-08-31,56826463,56826528,Independent Agencies:,null,null,null,null,null,null,6d,88,88,8380,S,C,2,2.19,2025,4,2025,3,08,31
2025-08-31,56826528,56826534,Harry S Truman Scholarship Foundation,11968779.33,21027321.87,29624647.66,34581322.67,43639865.21,55608644.54,6d,89,89,8394,D,A,3,2.19.1,2025,4,2025,3,08,31
2025-08-31,56826528,56826535,Japan-United States Friendship Commission,null,null,-1000000.00,34725735.47,34725735.47,34725735.47,6d,90,90,8395,D,A,3,2.19.2,2025,4,2025,3,08,31
2025-08-31,56826528,56826538,Railroad Retirement Board,null,null,null,null,null,null,6d,91,91,8425,S,A,3,2.19.3,2025,4,2025,3,08,31
2025-08-31,56826538,56826539,Treasury Securities,-172815800.00,529862900.00,258368600.00,2875819100.00,3578497800.00,3405682000.00,6d,92,92,14282,D,SL,4,2.19.3.1,2025,4,2025,3,08,31
2025-08-31,56826538,56826540,Agency Securities,null,1743000.00,null,3319000.00,5062000.00,5062000.00,6d,93,93,14283,D,SL,4,2.19.3.2,2025,4,2025,3,08,31
2025-08-31,56826377,56826442,Independent Agencies:,null,null,null,null,null,null,6d,31,31,8051,S,C,2,1.18,2025,4,2025,3,08,31
2025-08-31,56826442,56826444,Federal Deposit Insurance Corporation:,null,null,null,null,null,null,6d,32,32,8053,S,A,3,1.18.1,2025,4,2025,3,08,31
2025-08-31,56826444,56826445,Deposit Insurance Fund,-163506000.00,20833551000.00,-795261000.00,88949830000.00,109946887000.00,109783381000.00,6d,33,33,8054,D,P,4,1.18.1.1,2025,4,2025,3,08,31
2025-08-31,56826444,56826446,FSLIC Resolution Fund,3580000.00,40675000.00,48043000.00,983039000.00,1020134000.00,1023714000.00,6d,34,34,8055,D,P,4,1.18.1.2,2025,4,2025,3,08,31
2025-08-31,56826520,56826521,Treasury Securities,-3033443000.00,-14321374000.00,-15489126000.00,1072348519000.00,1061060588000.00,1058027145000.00,6d,82,82,8365,D,SL,4,2.17.1.1,2025,4,2025,3,08,31
2025-08-31,56826518,56826523,Employees Life Insurance Fund,1225694837.10,2887308174.82,2417155657.86,55035206984.70,56696820322.42,57922515159.52,6d,83,83,8368,D,P,3,2.17.2,2025,4,2025,3,08,31
2025-08-31,56826518,56826520,Civil Service Retirement and Disability Fund,null,null,null,null,null,null,6d,81,81,8364,S,P,3,2.17.1,2025,4,2025,3,08,31
2025-08-31,56826377,56826384,Department of Agriculture,105405570.21,23864484.95,111540830.52,384914308.60,303373223.34,408778793.55,6d,2,2,8001,D,C,2,1.1,2025,4,2025,3,08,31
2025-08-31,56826377,56826385,Department of Commerce,null,2369561.42,2243074.34,null,2369561.42,2369561.42,6d,3,3,8002,D,C,2,1.2,2025,4,2025,3,08,31
2025-08-31,56826377,56826386,Department of Defense--Military Programs:,null,null,null,null,null,null,6d,4,4,8003,S,C,2,1.3,2025,4,2025,3,08,31
2025-08-31,56826396,56826397,Housing Programs:,null,null,null,null,null,null,6d,10,10,8016,S,B,3,1.7.1,2025,4,2025,3,08,31
2025-08-31,56826415,56826419,National Service Life Insurance,7836000.00,91667000.00,44920000.00,63973000.00,147804000.00,155640000.00,6d,24,24,12235,D,P,3,1.14.2,2025,4,2025,3,08,31
2025-08-31,56826415,56826421,Servicemen'S Group Life Insurance Fund,null,536237000.00,526020000.00,4224829000.00,4761066000.00,4761066000.00,6d,25,25,8046,D,P,3,1.14.3,2025,4,2025,3,08,31
2025-08-31,56826377,56826424,Other Defense Civil Programs:,null,null,null,null,null,null,6d,26,26,8047,S,C,2,1.15,2025,4,2025,3,08,31
2025-08-31,56826477,56826480,Other,-23567302322.68,-1269188510.81,13970040882.57,239599939191.21,261898053003.08,238330750680.40,6d,56,56,8171,D,P,3,2.5.2,2025,4,2025,3,08,31
2025-08-31,56826463,56826481,Department of Homeland Security,37851550.59,578903623.82,786018673.56,12480419231.63,13021471304.86,13059322855.45,6d,57,57,8200,D,C,2,2.6,2025,4,2025,3,08,31
