Record Date,Parent ID,Classification ID,Classification Description,Current Month Budget Amount,Current Fiscal Year to Date Budget Amount,Prior Fiscal Year to Date Budget Amount,Current Year Budget Estimate Amount,Next Year Budget Estimate Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57117928,57117940,Off-Budget Receipts,100128950967.64,1283735635127.26,1259882731356.88,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,4,2025,3,09,30
2025-09-30,57117922,57117947,Total Outlays,345713357099.06,7009973667049.30,6734895725143.06,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,4,2025,3,09,30
2025-09-30,57117947,57117956,On-Budget Outlays,213137968866.21,5578367451526.44,5414584262491.31,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,4,2025,3,09,30
2025-09-30,57117947,57117963,Off-Budget Outlays,132575388232.85,1431606215522.86,1320311462651.75,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,4,2025,3,09,30
2025-09-30,57117922,57117973,Total Surplus (+) or Deficit (-),197949630362.16,-1775357280733.87,-1816790199628.21,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,4,2025,3,09,30
2025-08-31,56824971,56824976,On-Budget Receipts,245449322010.32,3507346714694.59,3237430567573.53,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,4,2025,3,08,31
2025-08-31,56824971,56824979,Off-Budget Receipts,98866000000.00,1183606684159.62,1153685366187.64,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,4,2025,3,08,31
2025-08-31,null,56824965,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,4,2025,3,08,31
2025-08-31,56824965,56824971,Total Receipts,344315322010.32,4690953398854.21,4391115933761.17,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,4,2025,3,08,31
2025-08-31,56825007,56825010,Borrowing from the Public,439268245192.29,1663596488676.39,1816101669252.04,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,4,2025,3,08,31
2025-08-31,56825007,56825014,"Reduction of Operating Cash, Increase (-)",-57628337975.14,330501463043.58,-52623363833.16,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,4,2025,3,08,31
2025-08-31,56825007,56825017,By Other Means,-36848015359.03,-20791040623.94,133600692522.90,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,4,2025,3,08,31
2025-08-31,56824965,56825004,Total On-Budget and Off-Budget Financing,344791891858.12,1973306911096.03,1897078997941.78,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,4,2025,3,08,31
2025-08-31,null,56825007,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,4,2025,3,08,31
2025-08-31,56824965,56824984,Total Outlays,689107213868.44,6664260309950.24,6288194931702.95,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,4,2025,3,08,31
2025-08-31,56824984,56824989,On-Budget Outlays,555571667696.06,5365229482660.23,5090878918538.74,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,4,2025,3,08,31
2025-08-31,56824984,56824993,Off-Budget Outlays,133535546172.38,1299030827290.01,1197316013164.21,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,4,2025,3,08,31
2025-08-31,56824965,56824997,Total Surplus (+) or Deficit (-),-344791891858.12,-1973306911096.03,-1897078997941.78,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,4,2025,3,08,31
2025-08-31,56824997,56825000,On-Budget Surplus (+) or Deficit (-),-310122345685.74,-1857882767965.64,-1853448350965.21,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,4,2025,3,08,31
2025-08-31,56824997,56825002,Off-Budget Surplus (+) or Deficit (-),-34669546172.38,-115424143130.39,-43630646976.57,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,4,2025,3,08,31
2025-07-31,null,56654029,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,4,2025,3,07,31
2025-07-31,56654029,56654034,Total Receipts,338491848423.17,4346638076843.89,4084576196741.85,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,4,2025,3,07,31
2025-07-31,56654034,56654039,On-Budget Receipts,242174848423.17,3261897392684.27,3027730830554.21,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,4,2025,3,07,31
2025-07-31,56654034,56654044,Off-Budget Receipts,96317000000.00,1084740684159.62,1056845366187.64,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,4,2025,3,07,31
2025-07-31,56654029,56654080,Total Surplus (+) or Deficit (-),-291142660287.67,-1628515019237.91,-1516998592507.28,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,4,2025,3,07,31
2025-07-31,56654080,56654085,On-Budget Surplus (+) or Deficit (-),-273068367823.79,-1547760422279.90,-1499330725925.42,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,4,2025,3,07,31
2025-07-31,56654080,56654091,Off-Budget Surplus (+) or Deficit (-),-18074292463.88,-80754596958.01,-17667866581.86,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,4,2025,3,07,31
2025-07-31,56654029,56654097,Total On-Budget and Off-Budget Financing,291142660287.67,1628515019237.91,1516998592507.28,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,4,2025,3,07,31
2025-07-31,56654029,56654049,Total Outlays,629634508710.84,5975153096081.80,5601574789249.13,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,4,2025,3,07,31
2025-07-31,56654049,56654071,On-Budget Outlays,515243216246.96,4809657814964.17,4527061556479.63,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,4,2025,3,07,31
2025-07-31,56654049,56654075,Off-Budget Outlays,114391292463.88,1165495281117.63,1074513232769.50,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,4,2025,3,07,31
2025-07-31,null,56654103,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,4,2025,3,07,31
2025-07-31,56654103,56654108,Borrowing from the Public,572765247509.72,1224328243484.10,1579794473572.21,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,4,2025,3,07,31
2025-07-31,56654103,56654127,"Reduction of Operating Cash, Increase (-)",-40615170572.89,388129801018.72,-197111438369.74,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,4,2025,3,07,31
2025-07-31,56654103,56654134,By Other Means,-241007416649.16,16056974735.09,134315557304.81,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,4,2025,3,07,31
2025-06-30,56447064,56447069,Total Receipts,526445351756.97,4008146228420.72,3754198768441.76,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,3,2025,2,06,30
2025-06-30,56447069,56447073,On-Budget Receipts,390295900447.36,3019722544261.10,2791771402254.12,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,3,2025,2,06,30
2025-06-30,56447069,56447079,Off-Budget Receipts,136149451309.61,988423684159.62,962427366187.64,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,3,2025,2,06,30
2025-06-30,56447064,56447084,Total Outlays,499435329679.20,5345518215303.20,5027456273651.61,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,3,2025,2,06,30
2025-06-30,null,56447064,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,3,2025,2,06,30
2025-06-30,56447103,56447112,By Other Means,75315947032.17,257064019316.49,133735004686.35,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,3,2025,2,06,30
2025-06-30,56447094,56447098,Off-Budget Surplus (+) or Deficit (-),29572059936.78,-62680304494.13,-2539421591.49,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,3,2025,2,06,30
2025-06-30,56447064,56447101,Total On-Budget and Off-Budget Financing,-27010022077.77,1337371986882.48,1273257505209.85,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,3,2025,2,06,30
2025-06-30,null,56447103,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,3,2025,2,06,30
2025-06-30,56447103,56447106,Borrowing from the Public,3211778433.56,651562995974.38,1260430967641.22,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,3,2025,2,06,30
2025-06-30,56447103,56447109,"Reduction of Operating Cash, Increase (-)",-105537747543.50,428744971591.61,-120908467117.72,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,3,2025,2,06,30
2025-06-30,56447094,56447096,On-Budget Surplus (+) or Deficit (-),-2562037859.01,-1274691682388.35,-1270718083618.36,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,3,2025,2,06,30
2025-06-30,56447084,56447088,On-Budget Outlays,392857938306.37,4294414226649.45,4062489485872.48,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,3,2025,2,06,30
2025-06-30,56447084,56447091,Off-Budget Outlays,106577391372.83,1051103988653.75,964966787779.13,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,3,2025,2,06,30
2025-06-30,56447064,56447094,Total Surplus (+) or Deficit (-),27010022077.77,-1337371986882.48,-1273257505209.85,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,3,2025,2,06,30
2025-05-31,null,56242342,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,3,2025,2,05,31
2025-05-31,56242342,56242353,Total Receipts,371228857110.76,3481700876663.75,3287943850034.60,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,3,2025,2,05,31
2025-05-31,56242353,56242356,On-Budget Receipts,267895857110.76,2629426643813.74,2464727709069.14,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,3,2025,2,05,31
2025-05-31,56242353,56242359,Off-Budget Receipts,103333000000.00,852274232850.01,823216140965.46,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,3,2025,2,05,31
2025-05-31,56242342,56242362,Total Outlays,687232618300.20,4846434905431.53,4490236062768.11,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,3,2025,2,05,31
2025-05-31,56242362,56242365,On-Budget Outlays,556817843593.27,3901908308150.61,3620452567382.28,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,3,2025,2,05,31
2025-05-31,56242362,56242368,Off-Budget Outlays,130414774706.93,944526597280.92,869783495385.83,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,3,2025,2,05,31
2025-05-31,56242385,56242391,Borrowing from the Public,98622165355.03,648353204837.34,1250320922912.67,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,3,2025,2,05,31
2025-05-31,56242385,56242396,"Reduction of Operating Cash, Increase (-)",326213841330.02,534282719135.11,-62036494352.22,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,3,2025,2,05,31
2025-05-31,56242385,56242401,By Other Means,-108832245495.61,182098104795.33,14007784173.06,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,3,2025,2,05,31
2025-05-31,56242342,56242382,Total On-Budget and Off-Budget Financing,316003761189.44,1364734028767.78,1202292212733.51,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,3,2025,2,05,31
2025-05-31,null,56242385,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,3,2025,2,05,31
2025-05-31,56242371,56242379,Off-Budget Surplus (+) or Deficit (-),-27081774706.93,-92252364430.91,-46567354420.37,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,3,2025,2,05,31
2025-05-31,56242342,56242371,Total Surplus (+) or Deficit (-),-316003761189.44,-1364734028767.78,-1202292212733.51,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,3,2025,2,05,31
2025-05-31,56242371,56242374,On-Budget Surplus (+) or Deficit (-),-288921986482.51,-1272481664336.87,-1155724858313.14,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,3,2025,2,05,31
2025-04-30,null,56010381,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,3,2025,2,04,30
2025-04-30,56010381,56010382,Total Receipts,850169317772.81,3110472019552.99,2964296863056.20,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,3,2025,2,04,30
2025-04-30,56010382,56010398,On-Budget Receipts,718211317772.81,2361530786702.98,2241078722090.74,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,3,2025,2,04,30
2025-04-30,56010382,56010410,Off-Budget Receipts,131958000000.00,748941232850.01,723218140965.46,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,3,2025,2,04,30
2025-04-30,56010381,56010415,Total Outlays,591769368657.85,4159202287131.33,3819458182098.06,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,3,2025,2,04,30
2025-04-30,56010415,56010422,On-Budget Outlays,476628792352.85,3345090464557.34,3069341767108.88,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,3,2025,2,04,30
2025-04-30,56010415,56010429,Off-Budget Outlays,115140576305.00,814111822573.99,750116414989.18,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,3,2025,2,04,30
2025-04-30,56010381,56010433,Total Surplus (+) or Deficit (-),258399949114.96,-1048730267578.34,-855161319041.86,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,3,2025,2,04,30
2025-04-30,56010433,56010437,On-Budget Surplus (+) or Deficit (-),241582525419.96,-983559677854.36,-828263045018.14,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,3,2025,2,04,30
2025-04-30,56010433,56010443,Off-Budget Surplus (+) or Deficit (-),16817423695.00,-65170589723.98,-26898274023.72,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,3,2025,2,04,30
2025-04-30,56010381,56010448,Total On-Budget and Off-Budget Financing,-258399949114.96,1048730267578.34,855161319041.86,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,3,2025,2,04,30
2025-04-30,null,56010453,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,3,2025,2,04,30
2025-04-30,56010453,56010457,Borrowing from the Public,-57042859809.30,549731039482.31,1128224206785.68,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,3,2025,2,04,30
2025-04-30,56010453,56010460,"Reduction of Operating Cash, Increase (-)",-271870684708.67,208068877805.09,-305539127752.43,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,3,2025,2,04,30
2025-04-30,56010453,56010463,By Other Means,70513595403.01,290930350290.94,32476240008.61,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,3,2025,2,04,30
2025-03-31,55872586,55872593,On-Budget Receipts,254840582423.01,1643309208977.17,1593761628913.80,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,2,2025,1,03,31
2025-03-31,55872586,55872599,Off-Budget Receipts,112794588567.31,616983232850.01,594337140965.46,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,2,2025,1,03,31
2025-03-31,55872565,55872604,Total Outlays,528165492489.68,3567424658520.48,3252789395546.45,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,2,2025,1,03,31
2025-03-31,null,55872565,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,2,2025,1,03,31
2025-03-31,55872565,55872586,Total Receipts,367635170990.32,2260292441827.18,2188098769879.26,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,2,2025,1,03,31
2025-03-31,55872604,55872611,On-Budget Outlays,384746123011.01,2868453412251.49,2607562710674.07,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,2,2025,1,03,31
2025-03-31,55872604,55872614,Off-Budget Outlays,143419369478.67,698971246268.99,645226684872.38,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,2,2025,1,03,31
2025-03-31,55872565,55872617,Total Surplus (+) or Deficit (-),-160530321499.36,-1307132216693.30,-1064690625667.19,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,2,2025,1,03,31
2025-03-31,55872617,55872620,On-Budget Surplus (+) or Deficit (-),-129905540588.00,-1225144203274.32,-1013801081760.27,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,2,2025,1,03,31
2025-03-31,55872617,55872623,Off-Budget Surplus (+) or Deficit (-),-30624780911.36,-81988013418.98,-50889543906.92,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,2,2025,1,03,31
2025-03-31,55872565,55872626,Total On-Budget and Off-Budget Financing,160530321499.36,1307132216693.30,1064690625667.19,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,2,2025,1,03,31
2025-03-31,null,55872629,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,2,2025,1,03,31
2025-03-31,55872629,55872632,Borrowing from the Public,2000178278.53,606773899291.61,1162235067086.56,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,2,2025,1,03,31
2025-03-31,55872629,55872635,"Reduction of Operating Cash, Increase (-)",153796333049.59,479939562513.76,-118378757025.90,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,2,2025,1,03,31
2025-03-31,55872629,55872640,By Other Means,4733810171.24,220418754887.93,20834315606.53,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,2,2025,1,03,31
2025-02-28,null,55680911,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,2,2025,1,02,28
2025-02-28,null,55680858,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,2,2025,1,02,28
2025-02-28,55680858,55680862,Total Receipts,296423683822.57,1892657270836.86,1856019955483.28,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,2,2025,1,02,28
2025-02-28,55680862,55680865,On-Budget Receipts,194405683822.57,1388468626554.16,1369611657732.90,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,2,2025,1,02,28
2025-02-28,55680862,55680869,Off-Budget Receipts,102018000000.00,504188644282.70,486408297750.38,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,2,2025,1,02,28
2025-02-28,55680858,55680872,Total Outlays,603440878521.84,3039259163437.80,2684154627875.25,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,2,2025,1,02,28
2025-02-28,55680911,55680927,"Reduction of Operating Cash, Increase (-)",233443305810.87,326143229464.17,-180209785862.73,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,2,2025,1,02,28
2025-02-28,55680911,55680934,By Other Means,70988238192.68,215684942123.69,-19087892221.34,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,2,2025,1,02,28
2025-02-28,55680872,55680875,On-Budget Outlays,477773099012.61,2483707286647.48,2160459748916.95,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,2,2025,1,02,28
2025-02-28,55680872,55680878,Off-Budget Outlays,125667779509.23,555551876790.32,523694878958.30,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,2,2025,1,02,28
2025-02-28,55680858,55680882,Total Surplus (+) or Deficit (-),-307017194699.27,-1146601892600.94,-828134672391.97,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,2,2025,1,02,28
2025-02-28,55680882,55680888,On-Budget Surplus (+) or Deficit (-),-283367415190.04,-1095238660093.32,-790848091184.05,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,2,2025,1,02,28
2025-02-28,55680882,55680896,Off-Budget Surplus (+) or Deficit (-),-23649779509.23,-51363232507.62,-37286581207.92,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,2,2025,1,02,28
2025-02-28,55680858,55680903,Total On-Budget and Off-Budget Financing,307017194699.27,1146601892600.94,828134672391.97,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,2,2025,1,02,28
2025-02-28,55680911,55680919,Borrowing from the Public,2585650695.72,604773721013.08,1027432350476.04,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,2,2025,1,02,28
2025-01-31,null,55496999,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,2,2025,1,01,31
2025-01-31,55496999,55497004,Total Receipts,513294342651.93,1596233587014.29,1584893886724.19,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,2,2025,1,01,31
2025-01-31,55497004,55497005,On-Budget Receipts,392261342651.93,1194062942731.59,1196268588973.81,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,2,2025,1,01,31
2025-01-31,55497004,55497006,Off-Budget Receipts,121033000000.00,402170644282.70,388625297750.38,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,2,2025,1,01,31
2025-01-31,55496999,55497007,Total Outlays,641934549325.42,2435818284915.96,2116753907274.97,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,2,2025,1,01,31
2025-01-31,55497007,55497008,On-Budget Outlays,530261282123.11,2005934187634.87,1712405843221.60,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,2,2025,1,01,31
2025-01-31,55497007,55497009,Off-Budget Outlays,111673267202.31,429884097281.09,404348064053.37,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,2,2025,1,01,31
2025-01-31,55496999,55497010,Total Surplus (+) or Deficit (-),-128640206673.49,-839584697901.67,-531860020550.78,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,2,2025,1,01,31
2025-01-31,55497010,55497011,On-Budget Surplus (+) or Deficit (-),-137999939471.18,-811871244903.28,-516137254247.79,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,2,2025,1,01,31
2025-01-31,55497010,55497012,Off-Budget Surplus (+) or Deficit (-),9359732797.69,-27713452998.39,-15722766302.99,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,2,2025,1,01,31
2025-01-31,55496999,55497013,Total On-Budget and Off-Budget Financing,128640206673.49,839584697901.67,531860020550.78,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,2,2025,1,01,31
2025-01-31,55497014,55497015,Borrowing from the Public,70451416276.67,602188070317.36,725066393777.65,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,2,2025,1,01,31
2025-01-31,55497014,55497016,"Reduction of Operating Cash, Increase (-)",-71133225480.44,92699923653.30,-208591712342.50,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,2,2025,1,01,31
2025-01-31,55497014,55497017,By Other Means,129322015877.26,144696703931.01,15385339115.63,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,2,2025,1,01,31
2025-01-31,null,55497014,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,2,2025,1,01,31
2024-12-31,null,55397636,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,1,2024,4,12,31
2024-12-31,55397636,55397655,Total Receipts,454414708491.47,1082939244362.36,1107574231267.03,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,1,2024,4,12,31
2024-12-31,55397655,55397660,On-Budget Receipts,355606064208.77,801801600079.66,835947933516.65,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,1,2024,4,12,31
2024-12-31,55397655,55397666,Off-Budget Receipts,98808644282.70,281137644282.70,271626297750.38,1306395.00,1366417.00,2,4,4,40,D,SL,3,1.1.2,2025,1,2024,4,12,31
2024-12-31,55397636,55397672,Total Outlays,541146327504.76,1793883735590.54,1617503899248.09,7439295.00,7612734.00,2,5,5,50,T,SL,2,1.2,2025,1,2024,4,12,31
2024-12-31,55397672,55397677,On-Budget Outlays,453674855519.23,1475672905511.76,1317175543532.67,6035465.00,6124968.00,2,6,6,60,D,SL,3,1.2.1,2025,1,2024,4,12,31
2024-12-31,55397672,55397682,Off-Budget Outlays,87471471985.53,318210830078.78,300328355715.42,1403830.00,1487766.00,2,7,7,70,D,SL,3,1.2.2,2025,1,2024,4,12,31
2024-12-31,55397636,55397689,Total Surplus (+) or Deficit (-),-86731619013.29,-710944491228.18,-509929667981.06,-1877649.00,-1601353.00,2,8,8,80,T,SL,2,1.3,2025,1,2024,4,12,31
2024-12-31,55397689,55397712,On-Budget Surplus (+) or Deficit (-),-98068791310.46,-673871305432.10,-481227610016.02,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,1,2024,4,12,31
2024-12-31,null,55397722,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,1,2024,4,12,31
2024-12-31,55397722,55397729,"Reduction of Operating Cash, Increase (-)",34985959103.15,163833149133.74,-111700818408.44,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,1,2024,4,12,31
