Record Date,Parent ID,Classification ID,Classification Description,Current Month Receipts Amount,Current Month Outlays Amount,Current Month Excess Amount,Fiscal Year to Date Receipts Amount,Fiscal Year to Date Outlays Amount,Fiscal Year to Date Excess Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57120096,57120108,Military Retirement,4831138481.94,555197542.30,4275940939.64,265883278222.43,80464778357.42,185418499865.01,1599140907736.18,1801987724320.79,1806919129817.61,8,13,13,125,D,PG,2,1.12,2025,4,2025,3,09,30
2025-09-30,57120096,57120098,Black Lung Disability,20271013.13,280097730.42,-259826717.29,241760290.73,482000633.78,-240240343.05,null,null,null,8,3,3,30,D,PG,2,1.2,2025,4,2025,3,09,30
2025-09-30,57120096,57120099,Federal Disability Insurance,14861064764.79,13291209771.51,1569854993.28,197777965393.68,160198618683.34,37579346710.34,177774550000.00,213710888000.00,215351861000.00,8,4,4,50,D,PG,2,1.3,2025,4,2025,3,09,30
2025-09-30,57120096,57120100,Federal Employees Life and Health,null,355289445.53,-355289445.53,null,-2659679249.71,2659679249.71,78803261198.15,81679495271.99,81316128109.84,8,5,5,60,D,PG,2,1.4,2025,4,2025,3,09,30
2025-09-30,57120096,57120101,Federal Employees Retirement,59553041136.32,9261893468.31,50291147668.01,148488930360.33,111690400730.10,36798529630.23,1096112273440.76,1082189589658.14,1130981520862.45,8,6,6,70,D,PG,2,1.5,2025,4,2025,3,09,30
2025-09-30,57120096,57120102,Federal Hospital Insurance,43198585755.99,23741587875.51,19456997880.48,467335760504.08,447463091736.51,19872668767.57,234959577000.00,233776294000.00,252906444000.00,8,7,7,80,D,PG,2,1.6,2025,4,2025,3,09,30
2025-08-31,null,56827060,Net Budget Receipts & Outlays,344315322010.32,689107213868.44,-344791891858.12,4690953398854.21,6664260309950.24,-1973306911096.03,null,null,null,8,24,24,280,T,SL,1,3,2025,4,2025,3,08,31
2025-08-31,56827037,56827044,Federal Old-Age and Survivors Insurance,86759271704.70,120089673846.13,-33330402141.43,1152121810141.74,1300716790800.42,-148594980658.68,2582205113000.00,2466177057000.00,2432859612000.00,8,8,8,90,D,PG,2,1.7,2025,4,2025,3,08,31
2025-08-31,56827037,56827054,Total Trust Fund Receipts and Outlays and Investments Held from Table 6-D,246393855425.53,332123683444.98,-85729828019.45,2983804170235.24,2961893850306.10,21910319929.14,6189787802708.44,6319254983934.89,6219398618173.76,8,18,18,190,T,SLU,2,1.17,2025,4,2025,3,08,31
2025-08-31,56827037,56827055,Less: Interfund Transactions,106655703343.44,106655703343.44,null,1305322154177.64,1305322154177.64,null,null,null,null,8,19,19,200,D,SLD,2,1.18,2025,4,2025,3,08,31
2025-08-31,56827037,56827056,Trust Fund Receipts and Outlays on the Basis of Tables 4 & 5,139738152082.09,225467980101.54,-85729828019.45,1678482016057.60,1656571696128.46,21910319929.14,null,null,null,8,20,20,220,D,SL,2,1.19,2025,4,2025,3,08,31
2025-08-31,null,56827057,Total Federal Fund Receipts and Outlays,204665622718.30,463727686556.97,-259062063838.67,3013595528073.15,5008812759098.32,-1995217231025.17,null,null,null,8,21,21,230,T,SL,1,2,2025,4,2025,3,08,31
2025-08-31,56827057,56827058,Less: Interfund Transactions,88452790.07,88452790.07,null,1124145276.54,1124145276.54,null,null,null,null,8,22,22,240,D,PGD,2,2.1,2025,4,2025,3,08,31
2025-08-31,56827057,56827059,Federal Fund Receipts and Outlays on the Basis of Table 4 & 5,204577169928.23,463639233766.90,-259062063838.67,3012471382796.61,5007688613821.78,-1995217231025.17,null,null,null,8,23,23,260,D,SL,2,2.2,2025,4,2025,3,08,31
2025-08-31,56827037,56827052,Veterans Life Insurance,894234.07,24228405.26,-23334171.19,19999128.75,291385299.16,-271386170.41,1250354000.00,1001080000.00,978844000.00,8,16,16,160,D,PG,2,1.15,2025,4,2025,3,08,31
2025-08-31,56827037,56827053,All Other Trust,1101269370.77,932610470.51,168658900.26,8206165724.15,7568890213.23,637275510.92,39460412756.03,39788297787.95,40122409127.98,8,17,17,170,D,PG,2,1.16,2025,4,2025,3,08,31
2025-08-31,56827037,56827050,Railroad Retirement,738713296.40,1296406393.97,-557693097.57,16046327498.40,14936155983.61,1110171514.79,2879138100.00,3583559800.00,3410744000.00,8,14,14,130,D,PG,2,1.13,2025,4,2025,3,08,31
2025-08-31,56827037,56827051,Unemployment,3950887863.91,3312465258.14,638422605.77,56491583520.26,43991292865.95,12500290654.31,88030113000.00,95970380000.00,98886507000.00,8,15,15,150,D,PG,2,1.14,2025,4,2025,3,08,31
2025-08-31,null,56827037,"Trust Receipts, Outlays, and Investments Held:",null,null,null,null,null,null,null,null,null,8,1,1,10,S,SL,1,1,2025,4,2025,3,08,31
2025-08-31,56827037,56827043,Federal Hospital Insurance,33241280697.86,54303755079.03,-21062474381.17,424137174748.09,423721503861.00,415670887.09,234959577000.00,257326398000.00,233776294000.00,8,7,7,80,D,PG,2,1.6,2025,4,2025,3,08,31
2025-08-31,56827037,56827045,Federal Supplementary Medical Insurance,64350479080.10,105025472352.99,-40674993272.89,674774553264.07,714334500896.64,-39559947632.57,164412218000.00,168008099000.00,125064398000.00,8,9,9,100,D,PG,2,1.8,2025,4,2025,3,08,31
2025-08-31,56827037,56827046,Hazardous Substance Superfund,103337368.31,199065868.58,-95728500.27,1894740276.55,1946868971.87,-52128695.32,11533700944.43,11508763770.81,11427582055.54,8,10,10,105,D,PG,2,1.9,2025,4,2025,3,08,31
2025-08-31,56827037,56827047,Highways,3223104404.44,7551134825.03,-4328030420.59,42386557479.85,63300855949.61,-20914298469.76,96549198532.89,82368569497.73,76295941739.32,8,11,11,110,D,PG,2,1.10,2025,4,2025,3,08,31
2025-08-31,56827037,56827048,Military Advances,13062059944.85,3623963477.81,9438096467.04,55022393878.73,45405495730.86,9616898147.87,null,null,null,8,12,12,120,D,PG,2,1.11,2025,4,2025,3,08,31
2025-08-31,56827037,56827049,Military Retirement,17107587637.74,12961464691.58,4146122946.16,261052139740.49,79909580815.12,181142558925.37,1599140907736.18,1798824615522.37,1801987724320.79,8,13,13,125,D,PG,2,1.12,2025,4,2025,3,08,31
2025-08-31,56827037,56827038,Airport and Airway,1850427788.22,1391472443.37,458955344.85,19576445703.66,19247678536.89,328767166.77,16676985000.00,16284657000.00,17008589000.00,8,2,2,20,D,PG,2,1.1,2025,4,2025,3,08,31
2025-08-31,56827037,56827039,Black Lung Disability,15787000.68,34560774.82,-18773774.14,221489277.60,201902903.36,19586374.24,null,null,null,8,3,3,30,D,PG,2,1.2,2025,4,2025,3,08,31
2025-08-31,56827037,56827040,Federal Disability Insurance,14693233034.51,13471268653.60,1221964380.91,182916900628.89,146907408911.83,36009491717.06,177774550000.00,212491299000.00,213710888000.00,8,4,4,50,D,PG,2,1.3,2025,4,2025,3,08,31
2025-08-31,56827037,56827041,Federal Employees Life and Health,null,-957240216.06,957240216.06,null,-3014968695.24,3014968695.24,78803261198.15,80626753673.00,81679495271.99,8,5,5,60,D,PG,2,1.4,2025,4,2025,3,08,31
2025-08-31,56827037,56827042,Federal Employees Retirement,6195521998.97,8863381120.22,-2667859121.25,88935889224.01,102428507261.79,-13492618037.78,1096112273440.76,1085295453883.03,1082189589658.14,8,6,6,70,D,PG,2,1.5,2025,4,2025,3,08,31
2025-07-31,56656163,56656175,Military Retirement,6149973463.77,6749816533.06,-599843069.29,243944552102.75,66948116123.54,176996435979.21,1599140907736.18,1799693630886.22,1798824615522.37,8,13,13,125,D,PG,2,1.12,2025,4,2025,3,07,31
2025-07-31,56656163,56656176,Railroad Retirement,1681426479.10,1446628178.74,234798300.36,15307614202.00,13639749589.64,1667864612.36,2879138100.00,3337826400.00,3583559800.00,8,14,14,130,D,PG,2,1.13,2025,4,2025,3,07,31
2025-07-31,56656163,56656177,Unemployment,4511247540.86,4002800244.81,508447296.05,52540695656.35,40678827607.81,11861868048.54,88030113000.00,97712030000.00,95970380000.00,8,15,15,150,D,PG,2,1.14,2025,4,2025,3,07,31
2025-07-31,56656163,56656178,Veterans Life Insurance,597571.12,24802595.42,-24205024.30,19104894.68,267156893.90,-248051999.22,1250354000.00,1026688000.00,1001080000.00,8,16,16,160,D,PG,2,1.15,2025,4,2025,3,07,31
2025-07-31,56656163,56656179,All Other Trust,477336307.29,1212884561.09,-735548253.80,7104896353.38,6636279742.72,468616610.66,39460412756.03,40390458054.04,39788297787.95,8,17,17,170,D,PG,2,1.16,2025,4,2025,3,07,31
2025-07-31,56656163,56656180,Total Trust Fund Receipts and Outlays and Investments Held from Table 6-D,229429379780.94,284723797297.86,-55294417516.92,2737410314809.71,2629770166861.12,107640147948.59,6189787802708.44,6194531312724.87,6319254983934.89,8,18,18,190,T,SLU,2,1.17,2025,4,2025,3,07,31
2025-07-31,56656163,56656181,Less: Interfund Transactions,96315895818.92,96315895818.92,null,1198666450834.20,1198666450834.20,null,null,null,null,8,19,19,200,D,SLD,2,1.18,2025,4,2025,3,07,31
2025-07-31,56656163,56656182,Trust Fund Receipts and Outlays on the Basis of Tables 4 & 5,133113483962.02,188407901478.94,-55294417516.92,1538743863975.51,1431103716026.92,107640147948.59,null,null,null,8,20,20,220,D,SL,2,1.19,2025,4,2025,3,07,31
2025-07-31,null,56656183,Total Federal Fund Receipts and Outlays,205467267266.20,441315510036.95,-235848242770.75,2808929905354.85,4545085072541.35,-1736155167186.50,null,null,null,8,21,21,230,T,SL,1,2,2025,4,2025,3,07,31
2025-07-31,56656183,56656184,Less: Interfund Transactions,88902805.05,88902805.05,null,1035692486.47,1035692486.47,null,null,null,null,8,22,22,240,D,PGD,2,2.1,2025,4,2025,3,07,31
2025-07-31,56656183,56656185,Federal Fund Receipts and Outlays on the Basis of Table 4 & 5,205378364461.15,441226607231.90,-235848242770.75,2807894212868.38,4544049380054.88,-1736155167186.50,null,null,null,8,23,23,260,D,SL,2,2.2,2025,4,2025,3,07,31
2025-07-31,null,56656186,Net Budget Receipts & Outlays,338491848423.17,629634508710.84,-291142660287.67,4346638076843.89,5975153096081.80,-1628515019237.91,null,null,null,8,24,24,280,T,SL,1,3,2025,4,2025,3,07,31
2025-07-31,null,56656163,"Trust Receipts, Outlays, and Investments Held:",null,null,null,null,null,null,null,null,null,8,1,1,10,S,SL,1,1,2025,4,2025,3,07,31
2025-07-31,56656163,56656164,Airport and Airway,1477514283.85,1559270409.46,-81756125.61,17726017915.44,17856206093.52,-130188178.08,16676985000.00,16353669000.00,16284657000.00,8,2,2,20,D,PG,2,1.1,2025,4,2025,3,07,31
2025-07-31,56656163,56656165,Black Lung Disability,-20821579.46,16256384.01,-37077963.47,205702276.92,167342128.54,38360148.38,null,null,null,8,3,3,30,D,PG,2,1.2,2025,4,2025,3,07,31
2025-07-31,56656163,56656166,Federal Disability Insurance,14714067252.63,13301998358.52,1412068894.11,168223667594.38,133436140258.23,34787527336.15,177774550000.00,211076982000.00,212491299000.00,8,4,4,50,D,PG,2,1.3,2025,4,2025,3,07,31
2025-07-31,56656163,56656167,Federal Employees Life and Health,null,643947097.18,-643947097.18,null,-2057728479.18,2057728479.18,78803261198.15,81233125539.27,80626753673.00,8,5,5,60,D,PG,2,1.4,2025,4,2025,3,07,31
2025-07-31,56656163,56656168,Federal Employees Retirement,4974075847.19,9711248796.93,-4737172949.74,82740367225.04,93565126141.57,-10824758916.53,1096112273440.76,910579353755.57,1085295453883.03,8,6,6,70,D,PG,2,1.5,2025,4,2025,3,07,31
2025-07-31,56656163,56656169,Federal Hospital Insurance,30665542502.87,41703968258.81,-11038425755.94,390895894050.23,369417748781.97,21478145268.26,234959577000.00,268543774000.00,257326398000.00,8,7,7,80,D,PG,2,1.6,2025,4,2025,3,07,31
2025-07-31,56656163,56656170,Federal Old-Age and Survivors Insurance,99480953475.50,119448160038.28,-19967206562.78,1065362538437.04,1180627116954.29,-115264578517.25,2582205113000.00,2486103809000.00,2466177057000.00,8,8,8,90,D,PG,2,1.7,2025,4,2025,3,07,31
2025-07-31,56656163,56656171,Federal Supplementary Medical Insurance,63719860614.43,74108730236.25,-10388869621.82,610424074183.97,609309028543.65,1115045640.32,164412218000.00,179200252000.00,168008099000.00,8,9,9,100,D,PG,2,1.8,2025,4,2025,3,07,31
2025-07-31,56656163,56656172,Hazardous Substance Superfund,117600806.28,185402357.10,-67801550.82,1791402908.24,1747803103.29,43599804.95,11533700944.43,11558875338.92,11508763770.81,8,10,10,105,D,PG,2,1.9,2025,4,2025,3,07,31
2025-07-31,56656163,56656173,Highways,568644447.43,6532572986.38,-5963928538.95,39163453075.41,55749721124.58,-16586268049.17,96549198532.89,87720838750.85,82368569497.73,8,11,11,110,D,PG,2,1.10,2025,4,2025,3,07,31
2025-07-31,56656163,56656174,Military Advances,911360768.08,4075310261.82,-3163949493.74,41960333933.88,41781532253.05,178801680.83,null,null,null,8,12,12,120,D,PG,2,1.11,2025,4,2025,3,07,31
2025-06-30,null,56449173,Net Budget Receipts & Outlays,526445351756.97,499435329679.20,27010022077.77,4008146228420.72,5345518215303.20,-1337371986882.48,null,null,null,8,24,24,280,T,SL,1,3,2025,3,2025,2,06,30
2025-06-30,56449150,56449169,Trust Fund Receipts and Outlays on the Basis of Tables 4 & 5,189007090222.58,57215936685.38,131791153537.20,1405630380013.49,1242695814547.98,162934565465.51,null,null,null,8,20,20,220,D,SL,2,1.19,2025,3,2025,2,06,30
2025-06-30,null,56449170,Total Federal Fund Receipts and Outlays,337707164086.65,442488295546.08,-104781131459.43,2603462638088.65,4103769190436.64,-1500306552347.99,null,null,null,8,21,21,230,T,SL,1,2,2025,3,2025,2,06,30
2025-06-30,56449170,56449171,Less: Interfund Transactions,268902552.26,268902552.26,null,946789681.42,946789681.42,null,null,null,null,8,22,22,240,D,PGD,2,2.1,2025,3,2025,2,06,30
2025-06-30,56449170,56449172,Federal Fund Receipts and Outlays on the Basis of Table 4 & 5,337438261534.39,442219392993.82,-104781131459.43,2602515848407.23,4102822400755.22,-1500306552347.99,null,null,null,8,23,23,260,D,SL,2,2.2,2025,3,2025,2,06,30
2025-06-30,56449150,56449163,Railroad Retirement,6904295392.37,1647137102.96,5257158289.41,13626187722.90,12193121410.90,1433066312.00,2879138100.00,3189176100.00,3337826400.00,8,14,14,130,D,PG,2,1.13,2025,3,2025,2,06,30
2025-06-30,56449150,56449164,Unemployment,7639537292.09,5824057748.62,1815479543.47,48029448115.49,36676027363.00,11353420752.49,88030113000.00,93354760000.00,97712030000.00,8,15,15,150,D,PG,2,1.14,2025,3,2025,2,06,30
2025-06-30,56449150,56449165,Veterans Life Insurance,6169378.30,13147812.20,-6978433.90,18507323.56,242354298.48,-223846974.92,1250354000.00,1033465000.00,1026688000.00,8,16,16,160,D,PG,2,1.15,2025,3,2025,2,06,30
2025-06-30,56449150,56449166,All Other Trust,692192500.22,601724142.79,90468357.43,6627560046.09,5423395181.63,1204164864.46,39460412756.03,40289716409.96,40390458054.04,8,17,17,170,D,PG,2,1.16,2025,3,2025,2,06,30
2025-06-30,56449150,56449167,Total Trust Fund Receipts and Outlays and Investments Held from Table 6-D,343112460613.85,211321307076.65,131791153537.20,2507980935028.77,2345046369563.26,162934565465.51,6189787802708.44,6207427553761.33,6194531312724.87,8,18,18,190,T,SLU,2,1.17,2025,3,2025,2,06,30
2025-06-30,56449150,56449168,Less: Interfund Transactions,154105370391.27,154105370391.27,null,1102350555015.28,1102350555015.28,null,null,null,null,8,19,19,200,D,SLD,2,1.18,2025,3,2025,2,06,30
2025-06-30,56449150,56449162,Military Retirement,6311346567.09,553454151.17,5757892415.92,237794578638.98,60198299590.48,177596279048.50,1599140907736.18,1793456174344.00,1799693630886.22,8,13,13,125,D,PG,2,1.12,2025,3,2025,2,06,30
2025-06-30,null,56449150,"Trust Receipts, Outlays, and Investments Held:",null,null,null,null,null,null,null,null,null,8,1,1,10,S,SL,1,1,2025,3,2025,2,06,30
2025-06-30,56449150,56449151,Airport and Airway,1494678242.10,1515340089.33,-20661847.23,16248503631.59,16296935684.06,-48432052.47,16676985000.00,16212492000.00,16353669000.00,8,2,2,20,D,PG,2,1.1,2025,3,2025,2,06,30
2025-06-30,56449150,56449152,Black Lung Disability,20795117.80,16208148.34,4586969.46,226523856.38,151085744.53,75438111.85,null,null,null,8,3,3,30,D,PG,2,1.2,2025,3,2025,2,06,30
2025-06-30,56449150,56449153,Federal Disability Insurance,23243926936.66,13204421760.88,10039505175.78,153509600341.75,120134141899.71,33375458442.04,177774550000.00,201054716000.00,211076982000.00,8,4,4,50,D,PG,2,1.3,2025,3,2025,2,06,30
2025-06-30,56449150,56449154,Federal Employees Life and Health,null,-370779536.04,370779536.04,null,-2701675576.36,2701675576.36,78803261198.15,80783595738.81,81233125539.27,8,5,5,60,D,PG,2,1.4,2025,3,2025,2,06,30
2025-06-30,56449150,56449155,Federal Employees Retirement,19921395080.02,9252258833.85,10669136246.17,77766291377.85,83853877344.64,-6087585966.79,1096112273440.76,1048420896800.00,910579353755.57,8,6,6,70,D,PG,2,1.5,2025,3,2025,2,06,30
2025-06-30,56449150,56449156,Federal Hospital Insurance,53772079711.64,18711734667.45,35060345044.19,360230351547.36,327713780523.16,32516571024.20,234959577000.00,230965900000.00,268543774000.00,8,7,7,80,D,PG,2,1.6,2025,3,2025,2,06,30
2025-06-30,56449150,56449157,Federal Old-Age and Survivors Insurance,147735225389.67,128036037881.68,19699187507.99,965881584961.54,1061178956916.01,-95297371954.47,2582205113000.00,2466287958000.00,2486103809000.00,8,8,8,90,D,PG,2,1.7,2025,3,2025,2,06,30
2025-06-30,56449150,56449158,Federal Supplementary Medical Insurance,66538959382.49,20498725461.85,46040233920.64,546704213569.54,535200298307.40,11503915262.14,164412218000.00,131036115000.00,179200252000.00,8,9,9,100,D,PG,2,1.8,2025,3,2025,2,06,30
2025-06-30,56449150,56449159,Hazardous Substance Superfund,155295452.55,161457440.91,-6161988.36,1673802101.96,1562400746.19,111401355.77,11533700944.43,11563521470.90,11558875338.92,8,10,10,105,D,PG,2,1.9,2025,3,2025,2,06,30
2025-06-30,56449150,56449160,Highways,4280399251.59,6889836218.57,-2609436966.98,38594808627.98,49217148138.20,-10622339510.22,96549198532.89,89779066897.66,87720838750.85,8,11,11,110,D,PG,2,1.10,2025,3,2025,2,06,30
2025-06-30,56449150,56449161,Military Advances,4396164919.26,4766545152.09,-370380232.83,41048973165.80,37706221991.23,3342751174.57,null,null,null,8,12,12,120,D,PG,2,1.11,2025,3,2025,2,06,30
2025-05-31,null,56244489,"Trust Receipts, Outlays, and Investments Held:",null,null,null,null,null,null,null,null,null,8,1,1,10,S,SL,1,1,2025,3,2025,2,05,31
2025-05-31,56244489,56244500,Military Advances,830985137.85,4020638981.34,-3189653843.49,36652808246.54,32939676839.14,3713131407.40,null,null,null,8,12,12,120,D,PG,2,1.11,2025,3,2025,2,05,31
2025-05-31,56244509,56244510,Less: Interfund Transactions,84182732.93,84182732.93,null,677887129.16,677887129.16,null,null,null,null,8,22,22,240,D,PGD,2,2.1,2025,3,2025,2,05,31
2025-05-31,56244509,56244511,Federal Fund Receipts and Outlays on the Basis of Table 4 & 5,216646450630.00,426533330908.99,-209886880278.99,2265077586872.84,3660656862474.15,-1395579275601.31,null,null,null,8,23,23,260,D,SL,2,2.2,2025,3,2025,2,05,31
2025-05-31,null,56244512,Net Budget Receipts & Outlays,371228857110.76,687232618300.20,-316003761189.44,3481700876663.75,4846434905431.53,-1364734028767.78,null,null,null,8,24,24,280,T,SL,1,3,2025,3,2025,2,05,31
2025-05-31,56244489,56244505,All Other Trust,632738960.19,515435881.86,117303078.33,5935367545.87,4821671038.84,1113696507.03,39460412756.03,39839114788.44,40289716409.96,8,17,17,170,D,PG,2,1.16,2025,3,2025,2,05,31
2025-05-31,56244489,56244506,Total Trust Fund Receipts and Outlays and Investments Held from Table 6-D,230463848798.63,336580729709.08,-106116880910.45,2164566758331.52,2133721511497.99,30845246833.53,6189787802708.44,6306483851627.57,6207426239161.33,8,18,18,190,T,SLU,2,1.17,2025,3,2025,2,05,31
2025-05-31,56244489,56244507,Less: Interfund Transactions,75881442317.87,75881442317.87,null,947943468540.61,947943468540.61,null,null,null,null,8,19,19,200,D,SLD,2,1.18,2025,3,2025,2,05,31
2025-05-31,56244489,56244508,Trust Fund Receipts and Outlays on the Basis of Tables 4 & 5,154582406480.76,260699287391.21,-106116880910.45,1216623289790.91,1185778042957.38,30845246833.53,null,null,null,8,20,20,220,D,SL,2,1.19,2025,3,2025,2,05,31
2025-05-31,null,56244509,Total Federal Fund Receipts and Outlays,216730633362.93,426617513641.92,-209886880278.99,2265755474002.00,3661334749603.31,-1395579275601.31,null,null,null,8,21,21,230,T,SL,1,2,2025,3,2025,2,05,31
2025-05-31,56244489,56244501,Military Retirement,6970214943.88,12936383584.18,-5966168640.30,231483232071.89,59644845439.31,171838386632.58,1599140907736.18,1800198384323.45,1793456174344.00,8,13,13,125,D,PG,2,1.12,2025,3,2025,2,05,31
2025-05-31,56244489,56244502,Railroad Retirement,422634544.39,1210304774.33,-787670229.94,6420176247.13,10542433319.32,-4122257072.19,2879138100.00,3471872800.00,3187861500.00,8,14,14,130,D,PG,2,1.13,2025,3,2025,2,05,31
2025-05-31,56244489,56244503,Unemployment,13756717357.97,3104335330.69,10652382027.28,40389910823.40,30851969614.38,9537941209.02,88030113000.00,79428116000.00,93354760000.00,8,15,15,150,D,PG,2,1.14,2025,3,2025,2,05,31
2025-05-31,56244489,56244504,Veterans Life Insurance,1043580.44,24679137.29,-23635556.85,12337945.26,229206486.28,-216868541.02,1250354000.00,1057547000.00,1033465000.00,8,16,16,160,D,PG,2,1.15,2025,3,2025,2,05,31
2025-05-31,56244489,56244499,Highways,4871386659.81,5903906864.21,-1032520204.40,34314409376.39,42327311919.63,-8012902543.24,96549198532.89,91825102861.35,89779066897.66,8,11,11,110,D,PG,2,1.10,2025,3,2025,2,05,31
2025-05-31,56244489,56244490,Airport and Airway,1539767258.81,2421274316.75,-881507057.94,14753825389.49,14781595594.73,-27770205.24,16676985000.00,18264224000.00,16212492000.00,8,2,2,20,D,PG,2,1.1,2025,3,2025,2,05,31
2025-05-31,56244489,56244498,Hazardous Substance Superfund,168953156.22,171711196.75,-2758040.53,1518506649.41,1400943305.28,117563344.13,11533700944.43,11572322441.66,11563521470.90,8,10,10,105,D,PG,2,1.9,2025,3,2025,2,05,31
2025-05-31,56244489,56244496,Federal Old-Age and Survivors Insurance,90271794202.21,118837516382.62,-28565722180.41,818146359571.87,933142919034.33,-114996559462.46,2582205113000.00,2495648622000.00,2466287958000.00,8,8,8,90,D,PG,2,1.7,2025,3,2025,2,05,31
